,,period ended,,,,
,,period ended,,,,
,,"September 30,",,,,
,,2025,,,,
Equity Share Capital,189.00,,,189.00,189.00,13.50
Net worth(1),"1,023.33",,,818.76,523.48,402.55
Revenue from operations,"4,799.96",,,"8,931.31","5,103.26","2,555.65"
Profit after tax,200.04,,,290.23,102.72,88.81
Earnings per share (in ₹) (2),10.82,,,15.62,6.29,5.01
Net asset value per equity share (3),54.14,,,43.32,27.70,21.29
Total borrowings,"1,123.94",,,790.51,481.46,333.38
Return on Net worth (%) (4),19.55,,,35.45,19.62,22.06
EBITDA (in ₹ million) (5),304.22,,,517.51,196.60,163.61
