"KSH International Limited (formerly known as KSH International Private Limited)
Annexure V - Notes forming part of Restated Financial Statements
All amounts in INR millions
Note : 2 Property, Plant & Equipment, Intangible Assets & Right of Use Assets
As at March 31, 2024
(A) Owned Assets",,,,,,,,,
Description,Gross Block,,,,Depreciation,,,,Net Block
,"As at April
01, 2023",Additions,Deletions,"As at March
31, 2024","As at April
01, 2023",For the year,Deletions,"As at March
31, 2024","As at March
31, 2024"
"Property,Plant and Equipment
Free Hold Land
Buildings
Plant and Equipment
Electrical Installation
Computers
Furnitures & Fixtures
Vehicles
Office Equipment
Dies & Moulds","212.13
241.61
1,035.21
20.42
11.56
13.25
51.27
5.47
15.06","-
7.24
258.32
0.47
1.60
-
4.56
0.71
3.20","-
4 3.66
-
-
-
-
4 .80
-
-","212.13
205.19
1,293.53
20.89
13.16
13.25
51.03
6.18
18.26","-
80.40
472.99
13.74
8.97
7.23
24.83
4.14
9.64","-
7.94
64.37
1.55
1.12
0.79
4.08
0.52
1.91","-
0.60
-
-
-
-
4.57
-
-","-
8 7.74
5 37.36
1 5.29
1 0.09
8 .02
2 4.34
4 .66
1 1.55","212.13
117.45
756.17
5.60
3.07
5.23
26.69
1.52
6.71"
Sub Total,"1,605.98",276.10,48.46,"1,833.63",621.93,82.28,5.17,6 99.05,"1,134.57"
"Intangible Assets
Computer Software",26.49,-,-,26.49,9.23,4.05,-,1 3.27,13.22
Sub Total,26.49,-,-,26.49,9.23,4.05,-,1 3.27,13.22
Total,"1,632.47",276.10,48.46,"1,860.12",631.16,86.32,5.17,7 12.31,"1,147.79"
(B) Leased Assets,,,,,,,,,
Description,Gross Block,,,,Depreciation,,,,Net Block
,"As at April
01, 2023",Additions,Deletions,"As at March
31, 2024","As at April
01, 2023",For the year,Deletions,"As at March
31, 2024","As at March
31, 2024"
"Property,Plant and Equipment
Leasehold Land
Leasehold Improvements",0.13,193.99,-,194.12,0.06,1.22,-,1 .28,192.84
"Sub Total
Right of Use Assets
Building",0.13,193.99,-,194.12,0.06,1.22,-,1.28,192.84
,93.29,5.84,-,99.13,20.46,21.99,-,4 2.45,56.68
Sub Total,93.29,5.84,-,99.13,20.46,21.99,-,4 2.45,56.68
Total,93.42,199.83,-,293.24,20.52,23.21,-,4 3.73,249.52
