"KSH International Limited (formerly known as KSH International Private Limited)
Annexure V - Notes forming part of Restated Financial Statements
All amounts in INR millions
Note : 4 Other Financial Assets (Non-Current)
(Unsecured and considered good, unless otherwise stated)",,,,,
Sr. No,Particulars,"As at
June 30,2025","As at
March 31,2025","As at
March 31,2024","As at
March 31, 2023"
a,Security Deposit (Amortised at Cost),37.02,36.37,23.29,19.22
,Total,37.02,36.37,23.29,19.22
"Note : 5 Other Non-Current Assets
(Unsecured and considered good, unless otherwise stated)",,,,,
Sr. No,Particulars,"As at
June 30,2025","As at
March 31,2025","As at
March 31,2024","As at
March 31, 2023"
a,Capital Advances,152.05,255.17,57.56,39.96
,Total,152.05,255.17,57.56,39.96
Note : 6 Inventories (Lower of Cost or Net Realisable Value),,,,,
Sr. No,Particulars,"As at
June 30,2025","As at
March 31,2025","As at
March 31,2024","As at
March 31, 2023"
"a
b
c
d","Raw materials (Includes stock in transit)
- Stock in Hand
- In Transit
Work-in-progress
Finished goods
- Stock in Hand
- In Transit
Scrap","572.75
189.53
401.07
349.71
618.93
159.72","654.05
129.22
322.64
337.40
552.05
114.83","300.58
2.44
169.88
303.68
464.30
88.07","309.26
-
188.60
227.35
326.06
43.15"
,Total,"2,291.71","2,110.19","1,328.95","1,094.42"
Note : 7 Trade Receivables,,,,,
Sr. No,Particulars,"As at
June 30,2025","As at
March 31,2025","As at
March 31,2024","As at
March 31, 2023"
"a
b
c
d
e","Trade Receivables
Trade Receivables from Related Parties (Refer Note 31)
Trade Receivables which have significant increase in credit risk
Trade Receivables - credit impaired
Sub-Total
Less : Allowance for credit impaired","2,308.63
-
-
45.89","2,239.13
-
-
45.89","1,591.55
-
-
45.24","1,094.48
-
-
31.64"
,,"2,354.52
45.89","2,285.02
45.89","1,636.79
45.24","1,126.12
31.64"
,Total,"2,308.63","2,239.13","1,591.55","1,094.48"
Break Up :,,,,,
Sr. No,Particulars,"As at
June 30,2025","As at
March 31,2025","As at
March 31,2024","As at
March 31, 2023"
"a
b
c
d","Trade receivables
Secured, considered good (Refer Note (a) below)
Unsecured, considered good (Refer Note (b) below)
Trade Receivables which have significant increase
in credit risk
Less : Allowance for credit impaired","845.25
1,463.38
45.89
45.89","982.02
1,257.11
45.89
45.89","552.92
1,038.63
45.24
45.24","413.02
681.46
31.64
31.64"
,Total,"2,308.63","2,239.13","1,591.55","1,094.48"
"Notes:
(a) Secured by letter of credit.
(b) Refer note number 34(A) for information on credit risk and details regarding past dues receivables and, movement in allowance for credit impairment.
(c)NoamountisduebydirectorsorotherofficersoftheCompanyoranyofthemeitherseverallyorjointlywithanyotherpersonordebtsduebyfirmsor
private companies respectively in which any director is a partner or a director or a member except as disclosed in Note 31.
(d) Refer Note 38, for details on trade receivables pledged as security against the borrowings of the Company.
(e) There are no unbilled receivables.
(f) Refer Note 37(a) for ageing schedule.",,,,,
