"KSH International Limited (formerly known as KSH International Private Limited)
Annexure V - Notes forming part of Restated Financial Statements
All amounts in INR millions
Gratuity",,,,
Changes in present value of defined benefit obligation,"As at June 30, 2025","As at March 31,
2025","As at March 31,
2024","As at March 31,
2023"
"Presentvalueofdefinedbenefitobligationatthebeginning
of the year/period",28.46,21.05,18.28,1 5.88
Current service cost,0.76,2.28,1.92,2.23
Interest cost,0.48,1.46,1.32,1.08
"Actuarial loss / (Gain) recognised in other
comprehensive income",0.65,5.19,0.79,(0.29)
a) Financial (Gain)/Loss on plan liabilities,0.05,4.89,0.35,(0.39)
b) Demographic (Gain)/Loss on plan liabilities,-,(0.37),-,-
c) Experience (Gain)/Loss on plan liabilities,0.60,0.66,0.44,0.10
Past service cost,-,-,-,-
Benefits paid,-,(1.52),(1.25),(0.62)
"Presentvalueofdefinedbenefitobligationattheendof
the year/period",30.34,28.46,21.05,1 8.28
Change in the fair value of plan assets,"As at June 30, 2025","As at March 31,
2025","As at March 31,
2024","As at March 31,
2023"
"Fair Value of plan assets at the beginning of the
year/period",19.52,16.63,13.76,1 1.89
Interest Income,0.34,1.26,1.10,0.89
"Return on plan assets, excluding interest income",(0.01),(0.01),0.00,(0.04)
Contributions,0.52,3.21,2.96,1.65
Mortality charges and taxes,(0.00),(0.05),(0.03),(0.01)
Benefit paid,-,(1.52),(1.16),(0.62)
Fair Value of plan assets at the end of the year/period,20.37,19.52,16.63,1 3.76
Analysis of defined benefit obligation,"As at June 30, 2025","As at March 31,
2025","As at March 31,
2024","As at March 31,
2023"
Present value of obligation as at the end of the year/period,30.34,28.46,21.05,1 8.28
Fair Value of Plan Assets at the end of the year/period,20.37,19.52,16.63,1 3.76
Net asset / (liability) recognized in the Balance Sheet,(9.97),(8.93),(4.43),(4.52)
Bifurcation of liability,,,,
Current Liability,8.33,7.39,3.21,3.55
Non-Current Liability,1.64,1.54,1.22,0.97
Net Liability recognized in the Balance Sheet,9.97,8.93,4.43,4.52
"Components of employer expenses/remeasurement
recognized in the statement of Profit and Loss","For the period
ended 30 June 2025","For the year ended
31 March 2025","For the year ended
31 March 2024","For the year ended
31 March 2023"
Current service cost,0.76,2.28,1.92,2.23
Net Interest Cost,0.14,0.20,0.22,0.18
Past Service Cost,-,-,-,-
Mortality charges and taxes,(0.00),-,-,-
"Expenses recognized in the Statement of Profit and
Loss",0.90,2.48,2.14,2.41
