"KSH International Limited (formerly known as KSH International Private Limited)
Annexure V - Notes forming part of Restated Financial Statements
All amounts in INR Millions
Note 43 :Net debt reconciliation",,,,
Particulars,"As at June 30,
2025","As at March 31,
2025","As at March 31,
2024","As at March 31,
2023"
"Cash and Cash equivalents
Other Bank Balances
Borrowings","( 53.99)
( 6.46)
3,793.94","(103.67)
(6.39)
3,600.49","(156.21)
(21.42)
2,068.08","(42.28)
(25.88)
1,203.54"
Net Debt,"3,733.49","3,490.43","1,890.45","1,135.38"
Particulars,,,"Cash and cash
Equivalents",Borrowings
"Net Debt as at March 31, 2022",,,27.15,"1,462.57"
"Cashflow
Repayment Of Borrowing
Proceeds from Borrowing
Non Cash Movements : Acquisitions/Disposals/Revaluations
Lease Rentals
Finance costs recognised
Finance costs paid",,,"15.13
-
-
-
-
-
-","-
(298.28)
39.25
-
-
-
-"
"Net Debt as at March 31, 2023",,,42.28,"1,203.54"
"Cash flows
Repayment of borrowing
Proceeds from borrowing
Non cash movement : Acquisitions/disposals/revaluation
Lease Rentals
Finance costs recognised
Finance costs paid",,,"113.93
-
-
-
-
-
-","-
(52.47)
917.01
-
-
-
-"
"Net Debt as at March 31, 2024",,,156.21,"2,068.08"
"Cashflow
Repayment Of Borrowing
Proceeds from Borrowing
Non Cash Movements : Acquisitions/Disposals/Revaluations
Lease Rentals
Finance costs recognised
Finance costs paid",,,"(52.54)
-
-
-
-
-
-","-
(88.99)
1,621.42
-
-
-
-"
"Net Debt as at March 31, 2025",,,103.67,"3,600.50"
"Cash flows
Repayment of borrowing
Proceeds from borrowing
Non cash movement : Acquisitions/disposals/revaluation
Lease Rentals
Finance costs recognised
Finance costs paid",,,"(49.68)
-
-
-
-
-
-","-
(44.20)
237.64
-
-
-
-"
"Net Debt as at June 30, 2025",,,53.99,"3,793.94"
