"KSH International Limited (formerly known as KSH International Private Limited)
Annexure V - Notes forming part of Restated Financial Statements
All amounts in INR Millions
iv) The model inputs for options granted during the year ended June 30, 2025 included:",
Particulars,
Share price at grant date (₹),320.24
Exercise price (₹),316.31
Expected volatility (%),50.03%
Expected life (years),3
Dividend yield (%),0
Expected Dividend,0
Risk free interest rate,5.99%
Any other inputs to the model,Simplified Method
"v) Employee-benefit expenses recognised in the Financial Statements
TheCompanyhasrecordedemployeestock-basedcompensationofRs.2.96MillionsthathasbeenrecognisedintheStatement
of Profit and Loss for the period ended June 30, 2025 (Nil in Fiscal 2025, Fiscal 2024 and Fiscal 2023)",
