Particulars,"As at June 30, 2025",As adjusted for the proposed Offer(1)
Borrowings,,
Current borrowings (I),"2,345.69",[●]
"Non-current borrowings (including current maturity**)
(II)","1,448.25",[●]
Total Borrowings (III = I + II),"3,793.94",[●]
Equity,,
Equity Share capital (IV),284.09,[●]
Other Equity (VI),"2,930.65",[●]
Total equity (VII = IV + V + VI),"3,214.74",[●]
Total Capitalization (III+VII),"7,008.68",[●]
Total Borrowings / Total Equity (III/VII),1.18,[●]
"Non-current borrowings (including current
maturity) / Total Equity (II/VII)",0.45,[●]
