,Category of borrowing,,,Sanctioned amount,,,"Amount outstanding as on October 31, 2025",
Secured borrowings,,,,,,,,
Fund based borrowings,,,,,,,,
Intraday facility,,,,,,,,
Term loans,,,"2,753.00",,,"1,958.59",,
Cash credit and overdraft/ working capital demand loan,,,"1,800.00",,,"1,624.62",,
Letter of credit and bill discounting,,,"1,450.00",,,"1,114.51",,
Vehicle loan,,,23.99,,,14.01,,
Total of fund-based borrowings (A),,,"6,026.99",,,"4,711.74",,
Non-fund based borrowings,,,,,,,,
Bank guarantee,,,90.00,,,84.92,,
Total of non-fund-based borrowings (B),,,90.00,,,84.92,,
Non-convertible debentures (C),,,0.00,,,0.00,,
Total secured borrowings (A+B+C),,,"6,116.99",,,"4,796.66",,
Unsecured borrowings,,,,,,,,
Cash credit and overdraft/ working capital demand loan,,,260.00,,,249.70,,
Letter of credit and bill discounting,,,150.00,,,147.89,,
Intercompany loan,,,-,,,-,,
Total unsecured borrowings (D),,,410.00,,,397.59,,
Total borrowings (A+B+C+D),,,"6,526.99",,,"5,194.25",,
