page,table_index,rows,cols,csv_file,csv_path
290,0,16,7,page_0290_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\KSH INTERNATIONAL LIMITED - RHP\dumped_tables\page_0290_table_00.csv
291,0,12,6,page_0291_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\KSH INTERNATIONAL LIMITED - RHP\dumped_tables\page_0291_table_00.csv
292,0,4,6,page_0292_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\KSH INTERNATIONAL LIMITED - RHP\dumped_tables\page_0292_table_00.csv
292,1,5,5,page_0292_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\KSH INTERNATIONAL LIMITED - RHP\dumped_tables\page_0292_table_01.csv
293,0,19,7,page_0293_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\KSH INTERNATIONAL LIMITED - RHP\dumped_tables\page_0293_table_00.csv
293,1,5,2,page_0293_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\KSH INTERNATIONAL LIMITED - RHP\dumped_tables\page_0293_table_01.csv
296,0,9,3,page_0296_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\KSH INTERNATIONAL LIMITED - RHP\dumped_tables\page_0296_table_00.csv
304,0,16,10,page_0304_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\KSH INTERNATIONAL LIMITED - RHP\dumped_tables\page_0304_table_00.csv
304,1,4,5,page_0304_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\KSH INTERNATIONAL LIMITED - RHP\dumped_tables\page_0304_table_01.csv
305,0,16,10,page_0305_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\KSH INTERNATIONAL LIMITED - RHP\dumped_tables\page_0305_table_00.csv
306,0,16,10,page_0306_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\KSH INTERNATIONAL LIMITED - RHP\dumped_tables\page_0306_table_00.csv
307,0,17,10,page_0307_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\KSH INTERNATIONAL LIMITED - RHP\dumped_tables\page_0307_table_00.csv
308,0,12,10,page_0308_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\KSH INTERNATIONAL LIMITED - RHP\dumped_tables\page_0308_table_00.csv
309,0,4,6,page_0309_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\KSH INTERNATIONAL LIMITED - RHP\dumped_tables\page_0309_table_00.csv
309,1,4,6,page_0309_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\KSH INTERNATIONAL LIMITED - RHP\dumped_tables\page_0309_table_01.csv
309,2,4,6,page_0309_table_02.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\KSH INTERNATIONAL LIMITED - RHP\dumped_tables\page_0309_table_02.csv
309,3,4,6,page_0309_table_03.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\KSH INTERNATIONAL LIMITED - RHP\dumped_tables\page_0309_table_03.csv
310,0,22,6,page_0310_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\KSH INTERNATIONAL LIMITED - RHP\dumped_tables\page_0310_table_00.csv
311,0,16,6,page_0311_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\KSH INTERNATIONAL LIMITED - RHP\dumped_tables\page_0311_table_00.csv
312,0,22,9,page_0312_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\KSH INTERNATIONAL LIMITED - RHP\dumped_tables\page_0312_table_00.csv
313,0,3,4,page_0313_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\KSH INTERNATIONAL LIMITED - RHP\dumped_tables\page_0313_table_00.csv
313,1,3,4,page_0313_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\KSH INTERNATIONAL LIMITED - RHP\dumped_tables\page_0313_table_01.csv
313,2,3,4,page_0313_table_02.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\KSH INTERNATIONAL LIMITED - RHP\dumped_tables\page_0313_table_02.csv
313,3,3,4,page_0313_table_03.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\KSH INTERNATIONAL LIMITED - RHP\dumped_tables\page_0313_table_03.csv
315,0,10,6,page_0315_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\KSH INTERNATIONAL LIMITED - RHP\dumped_tables\page_0315_table_00.csv
316,0,12,10,page_0316_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\KSH INTERNATIONAL LIMITED - RHP\dumped_tables\page_0316_table_00.csv
317,0,9,10,page_0317_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\KSH INTERNATIONAL LIMITED - RHP\dumped_tables\page_0317_table_00.csv
317,1,9,9,page_0317_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\KSH INTERNATIONAL LIMITED - RHP\dumped_tables\page_0317_table_01.csv
318,0,7,9,page_0318_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\KSH INTERNATIONAL LIMITED - RHP\dumped_tables\page_0318_table_00.csv
319,0,14,10,page_0319_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\KSH INTERNATIONAL LIMITED - RHP\dumped_tables\page_0319_table_00.csv
320,0,10,6,page_0320_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\KSH INTERNATIONAL LIMITED - RHP\dumped_tables\page_0320_table_00.csv
321,0,16,10,page_0321_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\KSH INTERNATIONAL LIMITED - RHP\dumped_tables\page_0321_table_00.csv
322,0,12,6,page_0322_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\KSH INTERNATIONAL LIMITED - RHP\dumped_tables\page_0322_table_00.csv
323,0,21,6,page_0323_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\KSH INTERNATIONAL LIMITED - RHP\dumped_tables\page_0323_table_00.csv
324,0,16,6,page_0324_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\KSH INTERNATIONAL LIMITED - RHP\dumped_tables\page_0324_table_00.csv
325,0,9,5,page_0325_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\KSH INTERNATIONAL LIMITED - RHP\dumped_tables\page_0325_table_00.csv
326,0,15,5,page_0326_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\KSH INTERNATIONAL LIMITED - RHP\dumped_tables\page_0326_table_00.csv
326,1,2,4,page_0326_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\KSH INTERNATIONAL LIMITED - RHP\dumped_tables\page_0326_table_01.csv
327,0,12,5,page_0327_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\KSH INTERNATIONAL LIMITED - RHP\dumped_tables\page_0327_table_00.csv
328,0,6,5,page_0328_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\KSH INTERNATIONAL LIMITED - RHP\dumped_tables\page_0328_table_00.csv
