Particulars,Amounts in capital work in progress for,,,,
,Less than 1 year,1-2 years,2-3 years,More than 3 years,Total
"Projects in Progress
Projects temporarily suspended","683.71
-","6 55.70
-","86.76
-","-
-","1,426.17
-"
Total,683.71,6 55.70,86.76,-,"1,426.17"
Particulars,Amounts in capital work in progress for,,,,
,Less than 1 year,1-2 years,2-3 years,More than 3 years,Total
"Projects in Progress
Projects temporarily suspended","475.97
-","5 98.27
-","3.36
-","-
-","1,077.60
-"
Total,475.97,5 98.27,3.36,-,"1,077.60"
Particulars,Amounts in capital work in progress for,,,,
,Less than 1 year,1-2 years,2-3 years,More than 3 years,Total
"Projects in Progress
Projects temporarily suspended","59.24
-","1 4.99
-","-
-","-
-","74.23
-"
Total,59.24,1 4.99,-,-,74.23
Particulars,Amounts in capital work in progress for,,,,
,Less than 1 year,1-2 years,2-3 years,More than 3 years,Total
"Projects in Progress
Projects temporarily suspended","94.21
-","-
-","-
-","-
-","94.21
-"
Total,94.21,-,-,-,94.21
