"KSH International Limited (formerly known as KSH International Private Limited)
Annexure V - Notes forming part of Restated Financial Statements
All amounts in INR millions
Note : 11 Equity Share Capital",,,,,,,,
,Number of shares,Amount,Number of shares,Amount,"Number of
shares",Amount,"Number of
shares",Amount
"AUTHORISED :
8,00,00,000 Equity shares of Rs.5 each (Refer note e)
ISSUED , SUBSCRIBED & FULLY PAID UP
5,68,18,200 Equity shares of Rs.5 each fully paid up (Refer note e)","8,00,00,000",4 00.00,"8,00,00,000",4 00.00,"7,00,000",70.00,"7,00,000",7 0.00
,"8,00,00,000",4 00.00,"8,00,00,000",4 00.00,"7,00,000",70.00,"7,00,000",7 0.00
,"5,68,18,200",2 84.09,"5,68,18,200",2 84.09,"5,68,182",56.82,"5,68,182",5 6.82
Total,"5,68,18,200",2 84.09,"5,68,18,200",2 84.09,"5,68,182",56.82,"5,68,182",5 6.82
(a) Reconciliation of the number of equity shares outstanding and amount of share capital at the beginning and end of the year/period:,,,,,,,,
,Number of shares,Amount,Number of shares,Amount,"Number of
shares",Amount,"Number of
shares",Amount
"Shares at the start of the year/period
Add : Shares issued during the year/period","5,68,18,200
-","2 84.09
-","5,68,182
5,62,50,018","5 6.82
2 27.27","5,68,182
-","56.82
-","5,68,182
-","5 6.82
-"
Shares at the end of the year/period,"5,68,18,200",2 84.09,"5,68,18,200",2 84.09,"5,68,182",56.82,"5,68,182",5 6.82
(b) Details of Share holding of Promoter and Promoter's Group,,,,,,,,
Class of shares / Name of shareholder,"As at June 30, 2025",,"As at March 31, 2025",,"As at March 31, 2024",,"As at March 31, 2023",
,Number of shares,Percentage (%)*,Number of shares,Percentage (%) *,"Number of
shares","Percentage
(%)","Number of
shares",Percentage (%)
"Equity shares
Mr. Kushal Subbaya Hegde
Mr. Rajesh Kushal Hegde
Mr. Rohit Kushal Hegde
Mrs. Pushpa Kushal Hegde
Ms. Rakhi Shetty*
Mrs. Maithili Rajesh Hegde*
Mrs. Katyayani Balasubramanian*
Dhaulagiri Family Trust*
Everest Family Trust*
Makalu Family Trust*
Broad Family Trust*
Annapurna Family Trust*
Kanchenjunga Family Trust*","2,67,04,570
1,13,63,500
1,13,63,500
73,86,270
1 00
1 00
1 00
1 0
1 0
1 0
1 0
1 0
1 0","47%
20%
20%
13%
0%
0%
0%
0%
0%
0%
0%
0%
0%","2,67,04,600
1,13,63,500
1,13,63,500
73,86,300
100
100
100
-
-
-
-
-
-","47%
20%
20%
13%
0%
0%
0%
-
-
-
-
-
-","2,67,046
1,13,636
1,13,636
73,864
-
-
-
-
-
-
-
-
-","47%
20%
20%
13%
-
-
-
-
-
-
-
-
-","2,67,046
1,13,636
1,13,636
73,864
-
-
-
-
-
-
-
-
-","47%
20%
20%
13%
-
-
-
-
-
-
-
-
-"
Total,"5,68,18,200",100%,"5,68,18,200",100%,"5,68,182",100%,"5,68,182",100%
"*The percentage of holding does not reflect due to rounding off norms adopted by the company
(c) Particulars of shareholders holding more than 5% shares is set out below:",,,,,,,,
Class of shares / Name of shareholder,"As at June 30, 2025",,"As at March 31, 2025",,"As at March 31, 2024",,"As at March 31, 2023",
,Number of shares,Percentage (%),Number of shares,Percentage (%),"Number of
shares","Percentage
(%)","Number of
shares",Percentage (%)
"Equity shares
Mr. Kushal Subbaya Hegde
Mr. Rajesh Kushal Hegde
Mr. Rohit Kushal Hegde
Mrs. Pushpa Kushal Hegde","2,67,04,570
1,13,63,500
1,13,63,500
73,86,270","47%
20%
20%
13%","2,67,04,600
1,13,63,500
1,13,63,500
73,86,300","47%
20%
20%
13%","2,67,046
1,13,636
1,13,636
73,864","47%
20%
20%
13%","2,67,046
1,13,636
1,13,636
73,864","47%
20%
20%
13%"
Total,"5,68,17,840",100%,"5,68,17,900",100%,"5,68,182",100%,"5,68,182",100%
