Class of shares / Name of shareholder,No. of Shares,% of Holding,"% Change during
the period#"
"Equity shares
Mr. Kushal Subbaya Hegde
Mr. Rajesh Kushal Hegde
Mr. Rohit Kushal Hegde
Mrs. Pushpa Kushal Hegde
Ms. Rakhi Shetty*
Mrs. Maithili Rajesh Hegde*
Mrs. Katyayani Balasubramanian*
Dhaulagiri Family Trust*
Everest Family Trust*
Makalu Family Trust*
Broad Family Trust*
Annapurna Family Trust*
Kanchenjunga Family Trust*","2,67,04,570
1,13,63,500
1,13,63,500
73,86,270
100
100
100
10
10
10
10
10
10","47%
20%
20%
13%
0%
0%
0%
0%
0%
0%
0%
0%
0%","0%
0%
0%
0%
0%
0%
0%
0%
0%
0%
0%
0%
0%"
Total,"5,68,18,200",100%,0%
Class of shares / Name of shareholder,No. of Shares,% of Holding,"% Change during
the period#"
"Equity shares
Mr. Kushal Subbaya Hegde
Mr. Rajesh Kushal Hegde
Mr. Rohit Kushal Hegde
Mrs. Pushpa Kushal Hegde
Ms. Rakhi Shetty*
Mrs. Maithili Rajesh Hegde*
Mrs. Katyayani Balasubramanian*","2,67,04,600
1,13,63,500
1,13,63,500
73,86,300
100
100
100","47%
20%
20%
13%
0%
0%
0%","0%
0%
0%
0%
0%
0%
0%"
Total,"5,68,18,200",100%,0%
Class of shares / Name of shareholder,No. of Shares,% of Holding,"% Change during
the year"
"Equity shares
Mr. Kushal Subbaya Hegde
Mr. Rajesh Kushal Hegde
Mr. Rohit Kushal Hegde
Mrs. Pushpa Kushal Hegde","2,67,046
1,13,636
1,13,636
73,864","47%
20%
20%
13%","0%
0%
0%
0%"
Total,"5,68,182",100%,0%
Class of shares / Name of shareholder,No. of Shares,% of Holding,"% Change during
the year"
"Equity shares
Mr. Kushal Subbaya Hegde
Mr. Rajesh Kushal Hegde
Mr. Rohit Kushal Hegde
Mrs. Pushpa Kushal Hegde","2,67,046
1,13,636
1,13,636
73,864","47%
20%
20%
13%","0%
0%
0%
0%"
Total,"5,68,182",100%,0%
