"KSH International Limited (formerly known as KSH International Private Limited)
Annexure V - Notes forming part of Restated Financial Statements
All amounts in INR millions
Sensitivity Analysis
Reasonably possible changes at the reporting date to one of the relevant actuarial assumptions, holding other assumptions constant, would have
affected the defined benefit obligation by the amounts shown below.",,,,
Projected benefit obligation on current assumptions,"For the period
ended 30 June 2025","For the year ended
31 March 2025","For the year ended
31 March 2024","For the year ended
31 March 2023"
INCREASE,,,,
Discount rate (1 % movement),(0.51),(0.51),(0.28),(0.22)
Future salary growth (1 % movement),0.47,0.46,0.25,0.19
Attrition rate (1% movement),0.32,0.37,0.28,0.19
DECREASE,,,,
Discount rate (1 % movement),0.57,0.57,0.31,0.24
Future salary growth (1 % movement),(0.43),(0.43),(0.23),(0.18)
Attrition rate (1% movement),(0.36),(0.41),(0.30),(0.20)
Weighted average assumptions used to determine net periodic benefit cost,,,,
Number of active members,185,173,161,1 53
Total Monthly leave encashment salary in Rupees,4.43,3.95,3.33,2.98
Total Monthly leave availment salary in Rupees,1 6.61,1 7.22,1 2.03,1 0.56
Average age (years),39,3 9.10,3 9.09,3 8.59
Total Leave Balances in days,"4 ,999","5 ,025","4 ,883","4 ,276"
Privilege Leave,"3 ,708","3 ,623","3 ,074","2 ,732"
Sick Leave,"1 ,291","1 ,402","1 ,809","1 ,544"
Average past services in years,8.02,8.46,8.68,8.57
