Particulars,"Current but Not
Due",Less than 6 months,6 months - 1 year,1-2 years,2-3 years,More than 3 years,TOTAL
"Undisputed trade receivables - considered good
Undisputed trade receivables - which have significant
increase in credit risk
Undisputed trade receivables - credit impaired
Disputed trade receivables - considered good
Disputed trade receivables - which have significant
increase in credit risk
Disputed trade receivables - credit impaired","1,723.34
-
-
-
-
-","573.15
-
-
-
-
-","9.39
-
-
-
-
-","2.75
-
2.47
-
-
21.89","-
-
0.38
-
-
-","-
-
0.22
-
-
20.93","2,308.63
-
3.07
-
-
42.82"
Total,"1,723.34",573.15,9.39,27.11,0.38,21.15,"2,354.52"
Less: Allowance for Credit impaired,-,-,-,-,-,-,45.89
Net Trade receivables,"1,723.34",573.15,9.39,27.11,0.38,21.15,"2,308.63"
Particulars,"Current but Not
Due",Less than 6 months,6 months - 1 year,1-2 years,2-3 years,More than 3 years,TOTAL
"Undisputed trade receivables - considered good
Undisputed trade receivables - which have significant
increase in credit risk
Undisputed trade receivables - credit impaired
Disputed trade receivables - considered good
Disputed trade receivables - which have significant
increase in credit risk
Disputed trade receivables - credit impaired","1,695.02
-
-
-
-
-","541.34
-
-
-
-
-","2.62
-
-
-
-
-","0.14
-
2.47
-
-
21.89","-
-
0.38
-
-
0.00","-
-
0.22
-
-
20.93","2,239.13
-
3.07
-
-
42.82"
Total,"1,695.02",541.34,2.62,24.50,0.38,21.15,"2,285.02"
Less: Allowance for Credit impaired,-,-,-,-,-,-,45.89
Net Trade receivables,"1,695.02",541.34,2.62,24.50,0.38,21.15,"2,239.13"
Particulars,"Current but Not
Due",Less than 6 months,6 months - 1 year,1-2 years,2-3 years,More than 3 years,TOTAL
"Undisputed trade receivables - considered good
Undisputed trade receivables - which have significant
increase in credit risk
Undisputed trade receivables - credit impaired
Disputed trade receivables - considered good
Disputed trade receivables - which have significant
increase in credit risk
Disputed trade receivables - credit impaired","1,023.22
-
-
-
-
-","70.54
-
-
-
-
-","0.72
-
-
-
-
-","-
-
0.44
-
-
-","-
-
-
-
-
-","-
-
0.16
-
-
31.04","1,094.48
-
0.60
-
-
31.04"
Total,"1,023.22",70.54,0.72,0.44,-,31.20,"1,126.12"
Less: Allowance for Credit impaired,-,-,-,-,-,-,31.64
Net Trade receivables,"1,023.22",70.54,0.72,0.44,-,31.20,"1,094.48"
