Particulars,"Current but Not
Due",Outstanding for following periods from the due date,,,,Total
,,Less than 1 Year,1-2 years,2-3 years,More than 3 years,
"Undisputed dues of micro and small enterprises
Undisputed dues of creditors other than micro and
small enterprises
Disputed dues of micro and small enterprises
Disputed dues of creditors other than micro and small
enterprises
Accrued Expenses","26.66
279.78
-
-
-","9.90
22.76
-
-
-","-
0 .09
-
-
-","-
0 .05
-
-
-","-
0 .27
-
-
-","36.56
302.95
-
-
60.79"
Total,306.44,32.66,0 .09,0 .27,0 .05,400.30
Particulars,"Current but Not
Due",Outstanding for following periods from the due date,,,,Total
,,Less than 1 Year,1-2 years,2-3 years,More than 3 years,
"Undisputed dues of micro and small enterprises
Undisputed dues of creditors other than micro and
small enterprises
Disputed dues of micro and small enterprises
Disputed dues of creditors other than micro and small
enterprises
Accrued Expenses","26.09
218.33
-
-
65.51","9.25
11.19
-
-
-","-
0 .10
-
-
-","-
0 .24
-
-
-","-
0 .06
-
-
-","35.34
229.92
-
-
65.51"
Total,309.93,20.44,0 .10,0 .24,0 .06,330.77
Particulars,"Current but Not
Due",Outstanding for following periods from the due date,,,,Total
,,Less than 1 Year,1-2 years,2-3 years,More than 3 years,
"Undisputed dues of micro and small enterprises
Undisputed dues of creditors other than micro and
small enterprises
Disputed dues of micro and small enterprises
Disputed dues of creditors other than micro and small
enterprises
Accrued Expenses","30.41
93.06
-
-
59.26","-
1.56
-
-
-","-
0 .29
-
-
-","-
0 .01
-
-
-","-
0 .05
-
-
-","30.41
94.98
-
-
59.26"
Total,182.73,1.56,0 .29,0 .01,0 .05,184.64
Particulars,"Current but Not
Due",Outstanding for following periods from the due date,,,,Total
,,Less than 1 Year,1-2 years,2-3 years,More than 3 years,
"Undisputed dues of micro and small enterprises
Undisputed dues of creditors other than micro and
small enterprises
Disputed dues of micro and small enterprises
Disputed dues of creditors other than micro and small
enterprises
Accrued Expenses","31.25
85.32
-
-
51.90","-
30.50
-
-
-","-
-
-
-
-","-
-
-
-
-","-
-
-
-
-","31.25
115.82
-
-
51.90"
Total,168.47,30.50,-,-,-,198.97
