"KSH International Limited (formerly known as KSH International Private Limited)
Annexure V - Notes forming part of Restated Financial Statements
All amounts in INR Millions
Note 45: Ratios
Ratios Variance",,,,,,,,,,
,,,Ratios,,,,Variance,,,
Ratio,Numerator,Denominator,"As at June 30,
2025","As at March
31, 2025","As at March
31, 2024","As at March
31, 2023","Between June 30,
2025 and March 31,
2025","Between March
31, 2025 and
March 31, 2024","Between March
31, 2024 and
March 31, 2023",Reasons for variance
Current Ratio (times),Current Assets,Current Liabilities,1.50,1.48,1.60,1.66,1%,-7%,-4%,--
"Debt-Equity Ratio
(times)","Total Debt (Long Term
Borrowings + Short Term
Borrowings - Cash and
Cash Equivalents - Bank
Balances)",Shareholder's Equity,1.16,1.17,0.82,0.59,-1%,43%,39%,"Decrease in debt in Fiscal 23
has led to the lower Debt
Equity Ratio where as an
Increase in debt in Fiscal 24
has led to the higher Debt
Equity Ratio."
"Debt Service Coverage
Ratio (times)","Earnings available for debt
service
(PAT + Depreciation &
Amortisations + Interest +-
Loss/(Profit) on sale of
Fixed Assets)","Debt Service
(Interest + Principal
Repayments)",2.87,3.03,2.93,3.08,-5%,3%,-5%,"Increase in debt in Fiscal 23
and in period ended December
2024 has led to lower debt
service ratio as compared to
Fiscal 22"
"Return on Equity Ratio
(%)",Net Profits after taxes,Shareholder’s Equity,7.06%,22.77%,16.17%,13.74%,-69%,41%,18%,--
"Inventory turnover ratio
(times)",Cost of goods sold,"Average Inventory
(Opening + Closing
balance / 2)",2.24,9.97,10.17,8.88,-78%,-2%,14%,--
"Trade Receivables
turnover ratio (times)",Net Credit Sales,"Avg. Accounts
Receivable
(Opening + Closing
balance / 2)",2.46,10.07,10.30,8.74,-76%,-2%,18%,--
"Trade payables turnover
ratio (times)",Net Credit Purchases,"Average Trade Payables
(Opening + Closing
balance / 2)",14.00,69.56,65.45,37.73,-80%,6%,73%,"Increase in variance in Fiscal
24 is on account of increase in
purchase against advance."
"Net capital turnover
ratio (times)",Net Sales,"Working Capital
(Opening+Closing/2)",3.48,13.89,12.73,12.69,-75%,9%,0%,--
Net profit ratio (%),Net Profits after taxes,Total Income,4.03%,3.51%,2.69%,2.52%,15%,31%,7%,"Increase in revenue in period
ended December 24 from
operations led to
increase in Net profit after
taxes"
"Return on Capital
employed (%)","Earning before interest and
taxes
(EBIT)",Capital Employed,5.26%,16.60%,14.15%,13.25%,-68%,17%,7%,--
"Return on investment
(%)",Return on investment,Average Investment,10.82%,34.16%,23.84%,19.67%,-68%,43%,21%,--
