Particulars,Unit,As at the three-month,As at and for Fiscal,,
,,period ended,2025,2024,2023
,,"June 30, 2025*",,,
Financial KPIs,,,,,
Revenue from Operations(1),₹ in million,"5,587.12","19,282.93","13,828.15","10,494.60"
Y-o-Y Revenue growth(2),%,N.A.,39.45%,31.76%,N.A.
Total Income(3),₹ in million,"5,626.04","19,381.90","13,904.95","10,565.95"
EBITDA(4),₹ in million,402.83,"1,225.34",714.63,499.00
EBITDA Margin(5),%,7.21%,6.35%,5.17%,4.75%
Profit After Tax(6),₹ in million,226.81,679.88,373.50,266.13
Profit After Tax Margin(7),%,4.03%,3.51%,2.69%,2.52%
ROE(8),%,7.06%,22.77%,16.17%,13.74%
ROCE(9),%,5.26%,16.60%,14.15%,13.25%
Net Debt/ Equity(10),times,1.16,1.17,0.82,0.59
Net Debt/ EBITDA(11),times,9.27,2.85,2.65,2.28
"Fixed Asset Turnover
Ratio(12)",times,4.46,15.19,10.42,10.66
Net Working Capital Days(13),Number of days,72,80,76,73
"Revenue CAGR (FY 23 -
FY25) (14)",%,N.A.,35.55%,,
"EBITDA CAGR (FY 23 -
FY25) (15)",%,N.A.,56.70%,,
"PAT CAGR (FY 23 - FY25)
(16)",%,N.A.,59.83%,,
Operating KPIs,,,,,
Production capacity(17),MT,"29,045","29,045","28,436","25,265"
"Magnet winding wires sales
volume(18)",MT,"6,114","23,324","21,495","17,645"
Volume Growth(19),%,N.A.,8.51%,21.82%,N.A.
Revenue from Exports(20),₹ in million,"1,615.13","5,903.64","4,863.35","4,110.36"
