Revenue,Three-month period ended,,Fiscal 2025,,Fiscal 2024,,Fiscal 2023,
from,"June 30, 2025",,,,,,,
operations,(in ₹ million),Percentage of,"(in ₹
million)",Percentage,"(in ₹
million)","Percentage
of total
income
(in%)","(in ₹
million)",Percentage
,,total income,,of total,,,,of total
,,(in%),,income,,,,income
,,,,(in%),,,,(in%)
"Operating
revenue",,,,,,,,
"(a) Sale of
products",,,,,,,,
-Domestic,"3,637.09",64.65%,"11,879.83",61.29%,"7,559.52",54.37%,"5 ,245.79",49.65%
- Export,"1,615.13",28.71%,"5,903.64",30.46%,"4,863.35",34.98%,"4 ,110.36",38.90%
"(b) Rendering
of services",,,,,,,,
"-Processing
charges",42.81,0.76%,269.98,1.39%,405.97,2.92%,320.09,3.03%
"Other
operating
revenue",,,,,,,,
Sale of scrap,289.42,5.14%,"1,203.90",6.21%,999.31,7.19%,818.36,7.75%
"Income from
RoDTEP",2.67,0.05%,25.58,0.13%,-,-,-,-
Total,"5,587.12",99.31%,"19,282.93",99.49%,"13,828.15",99.45,"10,494.60",99.32
