Ratios,"Unit of
measurement",Numerator,Denominator,"June 30, 2025","June 30, 2024",% Change,Reason for Variance (where change is more than 25%)
Current Ratio,Times,Total Current Assets,Total Current Liabilities,2 .16,1.75,24%,
Debt-Equity Ratio,Times,Total Debt = Borrowings + Lease liabilities,Shareholder’s equity,0 .07,0.08,-17%,
Debt Service Coverage Ratio,Times,"Earning Available for Debt Service= Profit
for the year + Finance costs + Non cash
Operating expenses","Debt Service = Finance costs and
lease payment + Principal
repayment",2 0.40,30.61,-33%,"Varianceismainlyonaccountofdecreaseinprofitduringthecurrent
period,resultingfromadditionaldiscountofferedtoincreasesales,as
well as an increase in other expenses."
Inventory turnover ratio,Times,Revenue from operations,Average inventories,2 .07,2.75,-25%,
Trade receivables turnover ratio,Times,Revenue from operations,Average trade receivables,3 .25,4.23,-23%,
Trade payables turnover ratio,Times,Purchases,Average trade payables,1 .32,1.36,-3%,
Net capital turnover ratio,Times,Revenue from operations,"Working capital (Current Assets-
Current Liabilities)",1 .23,2.01,-39%,"Varianceisattributabletoanincreaseinaverageinventoryduringthe
current period, which is a result of the company’s expecting future
growth in business."
Return on Equity Ratio,%,Profit for the period,Average Shareholder's equity,8 .24,16.53,-50%,"Varianceismainlyonaccountofdecreaseinprofitduringthecurrent
period,resultingfromadditionaldiscountofferedtoincreasesales,as
well as an increase in other expenses."
Net profit ratio,%,Profit for the period,Revenue from operations,8 .20,10.60,-23%,
Return on Capital employed,%,Earnings before finance costs and tax,"Capital employed= (Shareholder's
equity - Amalgamation reserve+
Total Debt + Deferred tax liabilities)",1 0.18,19.25,-47%,"Varianceismainlyonaccountofdecreaseinprofitduringthecurrent
period,resultingfromadditionaldiscountofferedtoincreasesales,as
well as an increase in other expenses."
Return on investment,%,Earnings before finance costs and tax,Average total assets,6 .08,10.36,-41%,"Varianceismainlyonaccountofdecreaseinprofitduringthecurrent
period,resultingfromadditionaldiscountofferedtoincreasesales,as
well as an increase in other expenses."
