Ratios,"Unit of
measurement",Numerator,Denominator,"March 31, 2023","March 31, 2022",% Change,Reason for Variance (where change is more than 25%)
Current Ratio,Times,Total Current Assets,Total Current Liabilities,1 .71,2.22,-23%,
Debt-Equity Ratio,Times,Total Debt = Borrowings + Lease liabilities,Shareholder’s equity,0 .07,0.05,38%,Higher dividend paid compared to last year
Debt Service Coverage Ratio,Times,"Earning Available for Debt Service= Profit
for the year + Finance costs + Non cash
Operating expenses","Debt Service = Finance costs and
lease payment + Principal
repayment",2 3.14,22.92,1%,
Inventory turnover ratio,Times,Revenue from operations,Average inventories,7 .85,6 .71,17%,
Trade receivables turnover ratio,Times,Revenue from operations,Average trade receivables,1 3.79,13.90,-1%,
Trade payables turnover ratio,Times,Purchases,Average trade payables,4 .97,3.88,28%,Purchases during current year are higher
Net capital turnover ratio,Times,Revenue from operations,"Working capital (Current Assets-
Current Liabilities)",6 .70,3 .97,69%,"Increase is on account of growth in revenue from operations and
decrease in working capital due to payment of dividend during the
current year and higher trade payables as compared to previous year ."
Return on Equity Ratio,%,Profit for the year,Average Shareholder's equity,2 7.29,19.44,40%,"Average shareholder's equityin current year is lower due to higher
dividend payouts"
Net profit ratio,%,Profit for the year,Revenue from operations,6 .77,6 .92,-2%,
Return on Capital employed,%,Earnings before finance costs and tax,"Capital employed= (Shareholder's
equity - Amalgamation reserve+
Total Debt + Deferred tax liabilities)",3 9.33,27.84,41%,Capital employed in current year is lower due to dividend payouts
Return on investment,%,Earnings before finance costs and tax,Average total assets,1 9.97,15.75,27%,Investment in current year is lower due to dividend payouts
