Name of the Statute,Nature of Dues,"Amount (Rs. In
Millions)","Amount deposited
(Rs. in Millions)","Amount not paid
(Rs. in Millions)","Period to which
amount relates","Forum where dispute is
pending"
"The Maharashtra
Goods and Services
Tax Act, 2017","Goods and Services
Tax",0.02,-,0.02,2019-20,"Joint Commissioner
(Appeals)"
"The Income Tax Act,
1961",Income Tax,"2 ,017.36",1 50.00,"1,867.36",2013-14,"Income Tax Appellate
Tribunal, Delhi"
"The Income Tax Act,
1961",Income Tax,"1 ,748.19",6 2.04,"1,686.15",2014-15,"Income Tax Appellate
Tribunal, Delhi"
"The Income Tax Act,
1961",Income Tax,"1 ,624.09",1 00.00,"1,524.09",2011-12,"Income Tax Appellate
Tribunal, Delhi"
"The Income Tax Act,
1961",Income Tax,"1 ,606.04",-,"1,606.04",2015-16,High Court of Delhi
"The Income Tax Act,
1961",Income Tax,"1 ,573.38",1 00.00,"1,473.38",2012-13,"Income Tax Appellate
Tribunal, Delhi"
"The Income Tax Act,
1961",Income Tax,"1 ,433.83",4 1.41,"1,392.42",2016-17,"Income Tax Appellate
Tribunal, Delhi"
"The Income Tax Act,
1961",Income Tax,"1 ,389.59",6 04.23,785.36,2009-10,"High Court of Judicature
at Allahabad"
"The Income Tax Act,
1961",Income Tax,"1 ,350.33",1 84.05,"1,166.28",2010-11,"Income Tax Appellate
Tribunal, Delhi"
"The Income Tax Act,
1961",Income Tax,"1 ,335.70",-,"1,335.70",2004-05,"Income Tax Appellate
Tribunal, Delhi"
"The Income Tax Act,
1961",Income Tax,"1 ,150.98",-,"1,150.98",2005-06,"Income Tax Appellate
Tribunal, Delhi"
"The Income Tax Act,
1961",Income Tax,775.38,3 10.51,464.87,2008-09,"High Court of Judicature
at Allahabad"
"The Income Tax Act,
1961",Income Tax,728.88,-,728.88,2019-20,"Income Tax Appellate
Tribunal, Delhi"
"The Income Tax Act,
1961",Income Tax,696.72,3 80.30,316.42,2006-07,"High Court of Judicature
at Allahabad"
"The Income Tax Act,
1961",Income Tax,669.18,3 63.19,305.99,2007-08,"High Court of Judicature
at Allahabad"
"The Income Tax Act,
1961",Income Tax,624.84,2 41.12,383.72,2004-05,"High Court of Judicature
at Allahabad"
"The Income Tax Act,
1961",Income Tax,623.40,2 54.50,368.90,2005-06,"High Court of Judicature
at Allahabad"
"The Income Tax Act,
1961",Income Tax,490.86,0 .11,490.75,2017-18,"Income Tax Appellate
Tribunal, Delhi"
"The Income Tax Act,
1961",Income Tax,320.01,1 .20,318.81,2006-07,"Income Tax Appellate
Tribunal, Delhi"
"The Income Tax Act,
1961",Income Tax,274.44,-,274.44,2014-15 to 2018-19,"Commissioner of Income
Tax (Appeals)"
"The Income Tax Act,
1961",Income Tax,225.90,4 5.18,180.72,2009-10,"Commissioner of Income
Tax (Appeals)"
"The Income Tax Act,
1961",Income Tax,172.43,1 26.33,46.10,2002-03,"High Court of Judicature
at Allahabad"
"The Income Tax Act,
1961",Income Tax,149.90,1 35.41,14.49,2003-04,"High Court of Judicature
at Allahabad"
"The Income Tax Act,
1961",Income Tax,146.19,-,146.19,2011-12 to 2013-14,"Commissioner of Income
Tax (Appeals)"
"The Income Tax Act,
1961",Income Tax,101.00,1 01.00,-,2001-02,"High Court of Judicature
at Allahabad"
