page,table_index,rows,cols,csv_file,csv_path
273,0,6,10,page_0273_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\LG ELECTRONICS INDIA LIMITED - RHP\dumped_tables\page_0273_table_00.csv
286,0,4,2,page_0286_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\LG ELECTRONICS INDIA LIMITED - RHP\dumped_tables\page_0286_table_00.csv
287,0,7,3,page_0287_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\LG ELECTRONICS INDIA LIMITED - RHP\dumped_tables\page_0287_table_00.csv
290,0,2,2,page_0290_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\LG ELECTRONICS INDIA LIMITED - RHP\dumped_tables\page_0290_table_00.csv
294,0,7,6,page_0294_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\LG ELECTRONICS INDIA LIMITED - RHP\dumped_tables\page_0294_table_00.csv
294,1,7,6,page_0294_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\LG ELECTRONICS INDIA LIMITED - RHP\dumped_tables\page_0294_table_01.csv
296,0,7,6,page_0296_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\LG ELECTRONICS INDIA LIMITED - RHP\dumped_tables\page_0296_table_00.csv
296,1,7,6,page_0296_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\LG ELECTRONICS INDIA LIMITED - RHP\dumped_tables\page_0296_table_01.csv
320,0,3,2,page_0320_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\LG ELECTRONICS INDIA LIMITED - RHP\dumped_tables\page_0320_table_00.csv
321,0,4,2,page_0321_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\LG ELECTRONICS INDIA LIMITED - RHP\dumped_tables\page_0321_table_00.csv
328,0,4,8,page_0328_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\LG ELECTRONICS INDIA LIMITED - RHP\dumped_tables\page_0328_table_00.csv
328,1,4,8,page_0328_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\LG ELECTRONICS INDIA LIMITED - RHP\dumped_tables\page_0328_table_01.csv
328,2,4,8,page_0328_table_02.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\LG ELECTRONICS INDIA LIMITED - RHP\dumped_tables\page_0328_table_02.csv
328,3,4,8,page_0328_table_03.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\LG ELECTRONICS INDIA LIMITED - RHP\dumped_tables\page_0328_table_03.csv
328,4,4,8,page_0328_table_04.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\LG ELECTRONICS INDIA LIMITED - RHP\dumped_tables\page_0328_table_04.csv
329,0,9,6,page_0329_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\LG ELECTRONICS INDIA LIMITED - RHP\dumped_tables\page_0329_table_00.csv
330,0,5,6,page_0330_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\LG ELECTRONICS INDIA LIMITED - RHP\dumped_tables\page_0330_table_00.csv
331,0,4,6,page_0331_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\LG ELECTRONICS INDIA LIMITED - RHP\dumped_tables\page_0331_table_00.csv
335,0,12,8,page_0335_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\LG ELECTRONICS INDIA LIMITED - RHP\dumped_tables\page_0335_table_00.csv
335,1,12,8,page_0335_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\LG ELECTRONICS INDIA LIMITED - RHP\dumped_tables\page_0335_table_01.csv
336,0,12,8,page_0336_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\LG ELECTRONICS INDIA LIMITED - RHP\dumped_tables\page_0336_table_00.csv
336,1,12,8,page_0336_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\LG ELECTRONICS INDIA LIMITED - RHP\dumped_tables\page_0336_table_01.csv
340,0,17,7,page_0340_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\LG ELECTRONICS INDIA LIMITED - RHP\dumped_tables\page_0340_table_00.csv
341,0,23,7,page_0341_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\LG ELECTRONICS INDIA LIMITED - RHP\dumped_tables\page_0341_table_00.csv
342,0,26,7,page_0342_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\LG ELECTRONICS INDIA LIMITED - RHP\dumped_tables\page_0342_table_00.csv
