Projects-in-progress,Amount in capital work-in-progress for a period of,,,,Total
,Less than 1 Year,1-2 Years,2-3 Years,More than 3 Years,
"As at June 30, 2025","1,553.71",1 .07,11.56,-,"1,566.34"
"As at June 30, 2024",558.25,11.56,-,-,569.81
"As at March 31, 2025",740.49,1 .07,11.56,-,753.12
"As at March 31, 2024",230.49,11.56,-,-,242.05
"As at March 31, 2023",235.01,-,8.48,-,243.49
Projects-in-progress,To be completed in,,,,Total
,Less than 1 Year,1-2 Years,2-3 Years,More than 3 Years,
"As at June 30, 2025",11.56,-,-,-,11.56
"As at June 30, 2024",11.56,-,-,-,11.56
"As at March 31, 2025",11.56,-,-,-,11.56
"As at March 31, 2024",1 1.56,-,-,-,11.56
"As at March 31, 2023",9 1.30,-,-,-,91.30
Projects in progress,Amount in intangible assets under development for a period of,,,,Total
,Less than 1 Year,1-2 Years,2-3 Years,"More than 3
Years",
"As at June 30, 2025",-,-,-,-,-
"As at June 30, 2024",3.74,-,-,-,3.74
"As at March 31, 2025",-,-,-,-,-
"As at March 31, 2024",-,2.49,-,-,2.49
"As at March 31, 2023",2 .56,-,-,-,2 .56
Projects in progress,To be completed in,,,,Total
,Less than 1 Year,1-2 Years,2-3 Years,"More than 3
Years",
"As at June 30, 2025",-,-,-,-,-
"As at June 30, 2024",-,-,-,-,-
"As at March 31, 2025",-,-,-,-,-
"As at March 31, 2024",2.49,-,-,-,2.49
"As at March 31, 2023",-,-,-,-,-
