Ratios,"Unit of
measurement",Numerator,Denominator,"June 30, 2025","June 30, 2024",% Change,Reason for Variance (where change is more than 25%)
Current Ratio,Times,Total Current Assets,Total Current Liabilities,2 .16,1.75,24%,
Debt-Equity Ratio,Times,Total Debt = Borrowings + Lease liabilities,Shareholder’s equity,0 .07,0.08,-17%,
Debt Service Coverage Ratio,Times,"Earning Available for Debt Service= Profit
for the year + Finance costs + Non cash
Operating expenses","Debt Service = Finance costs and
lease payment + Principal
repayment",2 0.40,30.61,-33%,"Varianceismainlyonaccountofdecreaseinprofitduringthecurrent
period,resultingfromadditionaldiscountofferedtoincreasesales,as
well as an increase in other expenses."
Inventory turnover ratio,Times,Revenue from operations,Average inventories,2 .07,2.75,-25%,
Trade receivables turnover ratio,Times,Revenue from operations,Average trade receivables,3 .25,4.23,-23%,
Trade payables turnover ratio,Times,Purchases,Average trade payables,1 .32,1.36,-3%,
Net capital turnover ratio,Times,Revenue from operations,"Working capital (Current Assets-
Current Liabilities)",1 .23,2.01,-39%,"Varianceisattributabletoanincreaseinaverageinventoryduringthe
current period, which is a result of the company’s expecting future
growth in business."
Return on Equity Ratio,%,Profit for the period,Average Shareholder's equity,8 .24,16.53,-50%,"Varianceismainlyonaccountofdecreaseinprofitduringthecurrent
period,resultingfromadditionaldiscountofferedtoincreasesales,as
well as an increase in other expenses."
Net profit ratio,%,Profit for the period,Revenue from operations,8 .20,10.60,-23%,
Return on Capital employed,%,Earnings before finance costs and tax,"Capital employed= (Shareholder's
equity - Amalgamation reserve+
Total Debt + Deferred tax liabilities)",1 0.18,19.25,-47%,"Varianceismainlyonaccountofdecreaseinprofitduringthecurrent
period,resultingfromadditionaldiscountofferedtoincreasesales,as
well as an increase in other expenses."
Return on investment,%,Earnings before finance costs and tax,Average total assets,6 .08,10.36,-41%,"Varianceismainlyonaccountofdecreaseinprofitduringthecurrent
period,resultingfromadditionaldiscountofferedtoincreasesales,as
well as an increase in other expenses."
Ratios,"Unit of
measurement",Numerator,Denominator,"March 31, 2025","March 31, 2024",% Change,Reason for Variance (where change is more than 25%)
Current Ratio,Times,Total Current Assets,Total Current Liabilities,1 .95,1.59,22%,
Debt-Equity Ratio,Times,Total Debt = Borrowings + Lease liabilities,Shareholder’s equity,0 .07,0.10,-27%,"VarianceisonaccountofincreaseinShareholdersequityduetothe
profit earned during the year ended March 31, 2025."
Debt Service Coverage Ratio,Times,"Earning Available for Debt Service= Profit
for the year + Finance costs + Non cash
Operating expenses","Debt Service = Finance costs and
lease payment + Principal
repayment",2 4.33,20.34,20%,
Inventory turnover ratio,Times,Revenue from operations,Average inventories,8 .98,8.47,6%,
Trade receivables turnover ratio,Times,Revenue from operations,Average trade receivables,1 1.72,12.95,-10%,
Trade payables turnover ratio,Times,Purchases,Average trade payables,5 .26,4.72,11%,
Net capital turnover ratio,Times,Revenue from operations,"Working capital (Current Assets-
Current Liabilities)",5 .25,8.64,-39%,"Variance isprimarilyduetoincreasedbalancesofcurrentassetsduring
thecurrent year,particularlyininventories,cashandcashequivalents
andtradereceivables,comparedtothepreviousyearonaccountof
increase in business operations."
Return on Equity Ratio,%,Profit for the year,Average Shareholder's equity,4 5.23,37.18,22%,
Net profit ratio,%,Profit for the year,Revenue from operations,9 .04,7.08,28%,"Varianceisonaccountofincreaseinprofitduringthecurrentyeardue
to decrease in prices of raw material consumed."
Return on Capital employed,%,Earnings before finance costs and tax,"Capital employed= (Shareholder's
equity - Amalgamation reserve+
Total Debt + Deferred tax liabilities)",4 7.06,49.87,-6%,
Return on investment,%,Earnings before finance costs and tax,Average total assets,2 9.91,23.62,27%,"Varianceisonaccountofincreaseinprofitduringthecurrentyeardue
to decrease in prices of raw material consumed."
