Ratios,"Unit of
measurement",Numerator,Denominator,"March 31, 2024","March 31, 2023",% Change,Reason for Variance (where change is more than 25%)
Current Ratio,Times,Total Current Assets,Total Current Liabilities,1 .59,1.71,-7%,
Debt-Equity Ratio,Times,Total Debt = Borrowings + Lease liabilities,Shareholder’s equity,0 .10,0 .07,34%,"Variance is on account of reduction in Shareholders equity due to
dividend payment and increase in lease liability."
Debt Service Coverage Ratio,Times,"Earning Available for Debt Service= Profit
for the year + Finance costs + Non cash
Operating expenses","Debt Service = Finance costs and
lease payment + Principal
repayment",2 0.34,23.14,-12%,
Inventory turnover ratio,Times,Revenue from operations,Average inventories,8 .47,7 .85,8%,
Trade receivables turnover ratio,Times,Revenue from operations,Average trade receivables,1 2.95,1 3.79,-6%,
Trade payables turnover ratio,Times,Purchases,Average trade payables,4 .72,4 .97,-5%,
Net capital turnover ratio,Times,Revenue from operations,"Working capital (Current Assets-
Current Liabilities)",8 .64,6 .70,29%,"Varianceis on account of increasein revenuefrom operations and
decrease in working capital due to payment of dividend."
Return on Equity Ratio,%,Profit for the year,Average Shareholder's equity,3 7.18,2 7.29,36%,"Variance is on account of reduction in Shareholders equity due to
dividend payment and increase in profit during the year."
Net profit ratio,%,Profit for the year,Revenue from operations,7 .08,6 .77,5%,
Return on Capital employed,%,Earnings before finance costs and tax,"Capital employed= (Shareholder's
equity - Amalgamation reserve+
Total Debt + Deferred tax liabilities)",4 9.87,39.33,27%,"Variance is on account of reduction in Shareholders equity due to
dividend payment and increase in profit during the year."
Return on investment,%,Earnings before finance costs and tax,Average total assets,2 3.62,19.97,18%,
