Name of the Statute,Nature of Dues,"Amount (Rs. In
Millions)","Amount deposited
(Rs. in Millions)","Amount not paid
(Rs. in Millions)","Period to which
amount relates","Forum where dispute is
pending"
"The Customs Act, 1962",Customs Duty,7 7 . 4 0,-,77.40,2020-21,"Custom Excise & Service
Tax Appellate Tribunal,
Mumbai Bench"
"The Customs Act, 1962",Customs Duty,8.66,8 . 6 6,-,2018-19,Supreme Court of India
"The Customs Act, 1962",Customs Duty,8.18,0.31,7 .87,2006-07,"Custom Excise & Service
Tax Appellate Tribunal,
Delhi Bench"
"The Customs Act, 1962",Customs Duty,6.99,0.20,6 .79,2018-19,"Custom Excise & Service
Tax Appellate Tribunal,
Delhi Bench"
"The Customs Act, 1962",Customs Duty,3 . 5 6,-,3 .56,1998-99,"Custom Excise & Service
Tax Appellate Tribunal,
Delhi Bench"
"The Telangana Goods
and Services Tax Act,
2017","Goods and Services
Tax",2 9 1 . 9 4,-,2 91.94,2020-21,"Joint Commissioner
(Appeals)"
"The Telangana Goods
and Services Tax Act,
2017","Goods and Services
Tax",0.40,0.04,0 .36,"2017-2018 to 2019-
2020","Joint Commissioner
(Appeals)"
"The Karnataka Goods
and Services Tax Act,
2017","Goods and Services
Tax",184.28,-,184.28,2018-19,"Joint Commissioner
(Appeals)"
"The Karnataka Goods
and Services Tax Act,
2017","Goods and Services
Tax",126.47,-,126.47,2017-18,"Joint Commissioner
(Appeals)"
"The Karnataka Goods
and Services Tax Act,
2017","Goods and Services
Tax",0.42,-,0.42,2017-18,"Joint Commissioner
(Appeals)"
"The Tamil Nadu Goods
and Services Act, 2017","Goods and Services
Tax",141.93,1 2.90,129.03,2018-19,"Joint Commissioner
(Appeals)"
"The Tamil Nadu Goods
and Services Act, 2017","Goods and Services
Tax",132.79,1 1.85,120.94,2017-18,"Joint Commissioner
(Appeals)"
"The Tamil Nadu Goods
and Services Act, 2017","Goods and Services
Tax",2.84,0 .26,2.58,2022-23,"Joint Commissioner
(Appeals)"
"The Tamil Nadu Goods
and Services Act, 2017","Goods and Services
Tax",0.19,-,0.19,2022-23,"Joint Commissioner
(Appeals)"
"The Tamil Nadu Goods
and Services Act, 2017","Goods and Services
Tax",0.18,-,0.18,2023-24,"Joint Commissioner
(Appeals)"
"The Tamil Nadu Goods
and Services Act, 2017","Goods and Services
Tax",28.85,1 .53,27.32,2019-20,"Joint Commissioner
(Appeals)"
