Name of the struck off company,"Nature of transactions with struck
off company","Balance outstanding as at
September 30, 2025*","Balance outstanding as at
September 30, 2024*","Balance outstanding as at
March 31, 2025*","Relationship with the
struck off company"
Isdmr Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Fashionhol Marketing Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Utility Super Bargain Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Riviera(India) Private Limited,Trade receivables,-,(0.00),(0.00),Seller
A.R.P. Textiles Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Tafne Fashions Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Aimee Healthcare Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Platypuss Clothings Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Riveting Home Decor Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Kmr Socks Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Billandcooers Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Jr7 Clothing Private Limited,Marketplace related payables,-,0.00,0.00,Seller
Zeog Lifestyle Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Manju Surgical & Medical Devices Com Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Kahuna Prime Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Alacare Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Manors textiles Private Limited,Trade receivables,(0.00),-,-,Seller
Ritvik Textile Private Limited,Trade receivables,(0.00),-,-,Seller
Gold Rose Private Limited,Trade receivables,(0.00),-,-,Seller
Aasand Debdatta India Private Limited,Trade receivables,(0.00),-,-,Seller
Golden Future Tradex Private Limited,Trade receivables,(0.00),-,-,Seller
Ginni Filaments Limited,Marketplace related payables,0.00,-,-,Seller
