,,,,,,,,"(₹ in million, unless otherwise specified)",,,,,,,
Particulars,,,,,"As at and for
the six months
period ended
September 30,
2025",,,,,As at and,,"As at and
for the year
ended
March 31,
2025","As at and
for the year
ended
March 31,
2024","As at and
for the year
ended
March 31,
2023",
,,,,,,,,,,for the six,,,,,
,,,,,,,,,,months,,,,,
,,,,,,,,,,period,,,,,
,,,,,,,,,,ended,,,,,
,,,,,,,,,,September,,,,,
,,,,,,,,,,"30, 2024",,,,,
"Restated loss for the
period/year",,,,,"(7,007.18)",,,,"(25,128.91)",,,"(39,417.05)","(3,276.41)","(16,719.02)",
"Basic (loss)/ earnings
per share(1) (₹)",,,,,(1.65)*,,,,(6.21)*,,,(9.98),(0.87),(4.43),
"Diluted (loss)/ earnings
per share(2) (₹)",,,,,(1.65)*,,,,(6.21)*,,,(9.98),(0.87),(4.43),
Total equity,,,,,"8,503.84",,,,"21,735.50",,,"14,455.18","22,296.42","24,719.15",
EBITDA(3),,,,,"(5,506.30)",,,,(538.39),,,"(14,139.41)","(2,631.59)","(16,405.27)",
Net Worth(4),,,,,"9,688.74",,,,"22,772.91",,,"15,618.77","23,016.37","25,483.14",
"Return on Net Worth(5)
(%)",,,,,(72.32)%*,,,,(110.35)%*,,,(252.37)%,(14.24)%,(65.61)%,
"Net Asset Value per
share(6) (₹)",,,,,2.28,,,,5.58,,,3.68,6.10,6.76,
