Particulars,,,,Twelve month,"s
d
,",Fiscal,,,,,,,,
,,,,period ende,,,,,,,,,,
,,,,September 30,,,,,,,,,,
,,,,202,5,,202,5,,202,4,,202,3
,"Less: Purchase of property, plant an","d
e
e",(280.31),,,(228.97),,,(352.47),,,(379.97),,
,"equipment, intangible assets and intangibl",,,,,,,,,,,,,
,assets under development (including payabl,,,,,,,,,,,,,
,towards capital goods),,,,,,,,,,,,,
Add: Cash Flow towards Exceptional items,,,,"8,612.6",2,,381.4,0,,17.0,3,,,-
LTM FCF,,,,"5,814.7",6,,"5,912.3",6,,"1,995.6",3,,"(23,363.68",)
LTM FCF as % NMV – Marketplace,,,,1.62%,,,1.97%,,,0.86%,,,(12.15%,)
,"Add: Interest income on bank deposits, bonds",",","2,001.46",,,"2,599.57",,,"2,007.15",,,958.87,,
,certificate of deposits and commercial papers,,,,,,,,,,,,,
Add: Interest income on security deposits,,,,4.9,3,,4.4,8,,4.8,0,,0.9,8
Add: Gain on sale of current investments (net),,,,"1,370.3",4,,643.0,6,,289.0,9,,514.0,8
Add: Gain on liquidation of a subsidiary,,,,,-,,,-,,4.0,7,,,-
,"Add: Net gain on disposal of property, plant an",d,0.19,,,-,,,1.69,,,-,,
,equipment,,,,,,,,,,,,,
,Add: Fair value gain on investments at fair valu,e,905.22,,,"1,156.05",,,14.33,,,114.81,,
,through profit and loss,,,,,,,,,,,,,
,Add: Exchange differences relating to disposa,l,-,,,4.46,,,-,,,-,,
,of a foreign subsidiary,,,,,,,,,,,,,
LTM FCFE,,,,"10,096.9",0,,"10,319.9",8,,"4,316.7",6,,"(21,774.94",)
LTM FCFE as % NMV – Marketplace,,,,2.82%,,,3.44%,,,1.86%,,,(11.32%,)
