,"(₹ in million, except percentages",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,)
Particulars,,,,"Six months period ended September 30,",,,,,,,,,,,,Fiscal,,,,,,,,,,,,,,,,
,,,,202,,,,5,,202,,,,4,,202,,,,5,,202,,,,4,,202,,,,3
,,,,₹ i,"n
n",,% of tota,"l
e",₹ in million,,,,% of tota,"l
e",₹ in million,,,,% of tota,"l
e",₹ in million,,,,% of tota,"l
e",₹ in million,,,,% of tota,"l
e"
,,,,millio,,,incom,,,,,,incom,,,,,,incom,,,,,,incom,,,,,,incom,
,Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue from,,"55,775.38",,,95.22,,,"43,112.87",,,94.86,,,"93,899.03",,,94.84,,,"76,151.48",,,96.89,,,"57,345.19",,,97.23,,
,operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other income,,,"2,801.5",5,,4.7,8,,"2,335.9",6,,5.1,4,,"5,109.9",8,,5.1,6,,"2,440.9",4,,3.1,1,,"1,631.7",2,,2.7,7
,Total income,,,"58,576.9",3,,100.0,0,,"45,448.8",3,,100.0,0,,"99,009.0",1,,100.0,0,,"78,592.4",2,,100.0,0,,"58,976.9",1,,100.0,0
,Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Employee benefits,,"4,450.40",,,7.60,,,"4,133.72",,,9.10,,,"8,481.81",,,8.57,,,"7,577.03",,,9.64,,,"7,282.50",,,12.35,,
,expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Finance costs,,,26.9,3,,0.0,5,,37.9,0,,0.0,8,,68.9,5,,0.0,7,,63.7,2,,0.0,8,,13.3,9,,0.0,2
,Depreciation and,,172.72,,,0.29,,,177.56,,,0.39,,,340.27,,,0.34,,,581.10,,,0.74,,,300.36,,,0.51,,
,amortisation expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other expenses,,,"58,259.0",2,,99.4,6,,"41,340.0",3,,90.9,6,,"91,202.2",7,,92.1,2,,"73,515.9",0,,93.5,4,,"68,099.6",8,,115.4,7
,Total expenses,,,"62,909.0",7,,107.4,0,,"45,689.2",1,,100.5,3,,"1,00,093.3",0,,101.1,0,,"81,737.7",5,,104.0,0,,"75,695.9",3,,128.3,5
,Restated loss before,,"(4,332.14)",,,(7.40),,,(240.38),,,(0.53),,,"(1,084.29)",,,(1.10),,,"(3,145.33)",,,(4.00),,,"(16,719.02)",,,(28.35),,
,exceptional items and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exceptional items,,,"(1,373.81",),,(2.35,),,(513.47,),,(1.13,),,"(13,464.34",),,(13.60,),,(131.08,),,(0.17,),,,-,,,-
,Tax expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Current tax,,,578.9,4,,0.9,9,,,-,,,-,,,-,,,-,,,-,,,-,,,-,,,-
,Current tax on account,,722.29,,,1.23,,,"24,375.06",,,53.63,,,"24,868.42",,,25.12,,,-,,,-,,,-,,,-,,
,of business combination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deferred tax,,,,-,,,-,,,-,,,-,,,-,,,-,,,-,,,-,,,-,,,-
,Total tax expense,,,"1,301.2",3,,2.2,2,,"24,375.0",6,,53.6,3,,"24,868.4",2,,25.1,2,,,-,,,-,,,-,,,-
