,"(₹ in million, except percentages",,,,,,,,,,,,,,,,,,,,,,,,,,,)
Particulars,,,,"Six months period ended September 30,",,,,,,,,,,,Fiscal,,,,,,,,,,,,,
,,,,202,,,,5,,202,,,4,,202,,,5,,202,,,4,,202,,,3
,,,,₹ i,"n
n",,% of tota,"l
e",₹ in million,,,% of tota,"l
e",₹ in million,,,% of tota,"l
e",₹ in million,,,% of tota,"l
e",₹ in million,,,% of tota,"l
e"
,,,,millio,,,incom,,,,,incom,,,,,incom,,,,,incom,,,,,incom,
,Restated loss for the,,"(7,007.18)",,,(11.96),,,"(25,128.91)",,(55.29),,,"(39,417.05)",,(39.81),,,"(3,276.41)",,(4.17),,,"(16,719.02)",,(28.35),,
,period/year,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other comprehensive,),16.82,,,0.03,,,(12.65),,(0.03),,,(36.55),,(0.04),,,40.11,,0.05,,,"1,077.28",,1.83,,
,(loss)/income for the,,,,,,,,,,,,,,,,,,,,,,,,,,,
,period/ year (net of tax,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Restated total,,"(6,990.36)",,,(11.93),,,"(25,141.56)",,(55.32),,,"(39,453.60)",,(39.85),,,"(3,236.30)",,(4.12),,,"(15,641.74)",,(26.52),,
,comprehensive,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(loss)/income for the,,,,,,,,,,,,,,,,,,,,,,,,,,,
,period/year (net of tax),,,,,,,,,,,,,,,,,,,,,,,,,,,
