,(₹ in million),,,,,,,,,,,,,,,
Particulars,,,Six months period ended,,,,,Fiscal,,,,,,,,
,,,September 30,,,,,,,,,,,,,
,,,2025,,,2024,,,2025,,,2024,,,2023,
"Restated loss for the
period/year (A)",,"(7,007.18)",,,"(25,128.91)",,,"(39,417.05)",,,"(3,276.41)",,,"(16,719.02)",,
Add:,,,,,,,,,,,,,,,,
Total tax expense,,"1,301.23",,,"24,375.06",,,"24,868.42",,,-,,,-,,
"Depreciation and
amortisation expense",,172.72,,,177.56,,,340.27,,,581.10,,,300.36,,
Finance costs,,26.93,,,37.90,,,68.95,,,63.72,,,13.39,,
Subtotal (B),,"1,500.88",,,"24,590.52",,,"25,277.64",,,644.82,,,313.75,,
EBITDA (C ) = (A+B),,"(5,506.30)",,,(538.39),,,"(14,139.41)",,,"(2,631.59)",,,"(16,405.27)",,
Add:,,,,,,,,,,,,,,,,
"Employee share based
payment expense",,"1,034.35",,,"1,646.78",,,"3,199.68",,,"2,529.81",,,"1,060.00",,
Exceptional items,,"1,373.81",,,513.47,,,"13,464.34",,,131.08,,,-,,
"Fair value loss on
derivative instruments at",,-,,,-,,,-,,,-,,,-,,
