Particulars,,As at and for the six months,,,,,"As at and for the Fiscal ended March 31,",,,,,,,,
,,"period ended September 30,",,,,,,,,,,,,,
,,2025,,,2024,,,2025,,,2024,,,2023,
"Equity share capital
(A)","1,947.50",,,0.00,,,2.72,,,0.00,,,0.00,,
"Share pending
issuance (B)",-,,,"3,836.04",,,"3,977.38",,,"3,541.40",,,"3,541.40",,
"Instruments entirely
equity in nature (C)","2,182.75",,,-,,,-,,,-,,,-,,
"Share based
payment reserve
(D)","4,868.86",,,"7,408.82",,,"4,315.24",,,"5,762.04",,,"3,550.41",,
"Securities premium
(E)","111,274.02",,,"100,794.82",,,"110,917.40",,,"77,859.83",,,"77,859.83",,
"Retained earnings
(F)","(110,584.39)",,,"(89,266.77)",,,"(103,593.97)",,,"(64,146.90)",,,"(59,468.50)",,
"Net Worth (G)=
(A+B+C+D+E+F)","9,688.74",,,"22,772.91",,,"15,618.77",,,"23,016.37",,,"25,483.14",,
"Number of shares
outstanding at the
end of the
period/year (H)","4,255,889,023 4,080,096,917",,,,,,"4,240,146,244",,,"3,771,589,748",,,"3,771,911,844",,
"Net Asset Value
per share (I) =
(G/H) (₹)",2.28,,,5.58,,,3.68,,,6.10,,,6.76,,
"Restated loss for
the period/year (J)","(7,007.18)",,,"(25,128.91)",,,"(39,417.05)",,,"(3,276.41)",,,"(16,719.02)",,
"Return on Net
Worth (%) (K) =
(J/G) (^)",(72.32)%,,,(110.35)%,,,(252.37)%,,,(14.24)%,,,(65.61)%,,
