,"(₹ in million, except ratios)",,,,,,
Particulars,,,Pre-Offer as at,,,As adjusted,
,,,"September 30, 2025",,,for the Offer*,
,Borrowings#,,,,,,
Non-current borrowings (A),,-,,,[●],,
Current borrowings (B),,-,,,[●],,
Total borrowings (C = A + B),,-,,,[●],,
,Equity,,,,,,
Equity Share capital (D),,"1,947.50",,,[●],,
Instruments entirely equity in nature (E),,"2,182.75",,,[●],,
Other equity (F),,"4,373.59",,,[●],,
Total equity (G= D + E +F),,"8,503.84",,,[●],,
Ratio: Non-current borrowings/ Total equity (A/G),,-,,,[●],,
Ratio: Total borrowings/ Total equity (C/G),,-,,,[●],,
