page,table_index,rows,cols,csv_file,csv_path
425,0,4,4,page_0425_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Meesho Limited -RHP\dumped_tables\page_0425_table_00.csv
425,1,4,3,page_0425_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Meesho Limited -RHP\dumped_tables\page_0425_table_01.csv
426,0,2,4,page_0426_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Meesho Limited -RHP\dumped_tables\page_0426_table_00.csv
426,1,2,4,page_0426_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Meesho Limited -RHP\dumped_tables\page_0426_table_01.csv
427,0,2,4,page_0427_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Meesho Limited -RHP\dumped_tables\page_0427_table_00.csv
430,0,3,4,page_0430_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Meesho Limited -RHP\dumped_tables\page_0430_table_00.csv
430,1,4,3,page_0430_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Meesho Limited -RHP\dumped_tables\page_0430_table_01.csv
430,2,4,3,page_0430_table_02.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Meesho Limited -RHP\dumped_tables\page_0430_table_02.csv
439,0,9,9,page_0439_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Meesho Limited -RHP\dumped_tables\page_0439_table_00.csv
441,0,3,2,page_0441_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Meesho Limited -RHP\dumped_tables\page_0441_table_00.csv
441,1,4,2,page_0441_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Meesho Limited -RHP\dumped_tables\page_0441_table_01.csv
443,0,2,3,page_0443_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Meesho Limited -RHP\dumped_tables\page_0443_table_00.csv
457,1,10,3,page_0457_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Meesho Limited -RHP\dumped_tables\page_0457_table_01.csv
497,0,4,9,page_0497_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Meesho Limited -RHP\dumped_tables\page_0497_table_00.csv
497,1,4,9,page_0497_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Meesho Limited -RHP\dumped_tables\page_0497_table_01.csv
497,2,4,9,page_0497_table_02.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Meesho Limited -RHP\dumped_tables\page_0497_table_02.csv
498,0,4,9,page_0498_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Meesho Limited -RHP\dumped_tables\page_0498_table_00.csv
498,1,4,9,page_0498_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Meesho Limited -RHP\dumped_tables\page_0498_table_01.csv
500,0,80,6,page_0500_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Meesho Limited -RHP\dumped_tables\page_0500_table_00.csv
501,0,23,6,page_0501_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Meesho Limited -RHP\dumped_tables\page_0501_table_00.csv
504,0,3,7,page_0504_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Meesho Limited -RHP\dumped_tables\page_0504_table_00.csv
505,0,16,16,page_0505_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Meesho Limited -RHP\dumped_tables\page_0505_table_00.csv
507,0,6,17,page_0507_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Meesho Limited -RHP\dumped_tables\page_0507_table_00.csv
508,0,6,17,page_0508_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Meesho Limited -RHP\dumped_tables\page_0508_table_00.csv
519,0,11,18,page_0519_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Meesho Limited -RHP\dumped_tables\page_0519_table_00.csv
519,1,5,15,page_0519_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Meesho Limited -RHP\dumped_tables\page_0519_table_01.csv
520,0,24,15,page_0520_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Meesho Limited -RHP\dumped_tables\page_0520_table_00.csv
521,0,28,33,page_0521_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Meesho Limited -RHP\dumped_tables\page_0521_table_00.csv
522,0,14,29,page_0522_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Meesho Limited -RHP\dumped_tables\page_0522_table_00.csv
522,1,9,21,page_0522_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Meesho Limited -RHP\dumped_tables\page_0522_table_01.csv
528,0,15,17,page_0528_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Meesho Limited -RHP\dumped_tables\page_0528_table_00.csv
529,0,18,17,page_0529_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Meesho Limited -RHP\dumped_tables\page_0529_table_00.csv
530,0,14,16,page_0530_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Meesho Limited -RHP\dumped_tables\page_0530_table_00.csv
531,0,11,18,page_0531_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Meesho Limited -RHP\dumped_tables\page_0531_table_00.csv
533,0,6,8,page_0533_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Meesho Limited -RHP\dumped_tables\page_0533_table_00.csv
533,1,6,6,page_0533_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Meesho Limited -RHP\dumped_tables\page_0533_table_01.csv
537,0,5,3,page_0537_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Meesho Limited -RHP\dumped_tables\page_0537_table_00.csv
542,0,6,5,page_0542_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Meesho Limited -RHP\dumped_tables\page_0542_table_00.csv
543,0,5,5,page_0543_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Meesho Limited -RHP\dumped_tables\page_0543_table_00.csv
553,0,14,8,page_0553_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Meesho Limited -RHP\dumped_tables\page_0553_table_00.csv
554,0,24,9,page_0554_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\Meesho Limited -RHP\dumped_tables\page_0554_table_00.csv
