Name of the entity in the group,"Net assets i.e. total assets minus
liabilities",,Share in profit or loss,,Share in other comprehensive income,,Share in total comprehensive income,
,"As % of consolidated
net assets",Amount,"As % of consolidated
profit or loss",Amount,"As % of other
consolidated
comprehensive income",Amount,"As % of total
comprehensive
income",Amount
"Parent
Meesho Limited (formerly known as Meesho Private
Limited/Fashnear Technologies Private Limited)
Indian Subsidiaries
Meesho Grocery Private Limited
Meesho Technologies Private Limited
Meesho Payments Private Limited
Foreign Subsidiaries
PT Fashnear Technology Indonesia, Indonesia
Meesho Networks LLC
Consolidation adjustments/ eliminations","3280.70%
(35.31%)
(2287.36%)
(1.12%)
0.01%
0.00%
(856.92%)","278,985.89
(3,002.79)
(194,513.14)
(95.09)
0.91
0.01
(72,871.95)","(3750.15%)
4.20%
141.81%
1.93%
0.02%
0.00%
3702.19%","262,779.53
(294.22)
(9,936.94)
(135.36)
(1.32)
-
(259,418.87)","10.76%
2.14%
73.66%
4.10%
0.33%
0.00%
9.01%","1.81
0.36
12.39
0.69
0.06
-
1.51","(3759.20%)
4.20%
141.97%
1.93%
0.02%
0.00%
3711.08%","262,781.34
(293.86)
(9,924.55)
(134.67)
(1.26)
-
(259,417.36)"
Total,100.00%,"8,503.84",100.00%,"(7,007.18)",100.00%,16.82,100.00%,"(6,990.36)"
Name of the entity in the group,"Net assets i.e. total assets minus
liabilities",,Share in profit or loss,,Share in other comprehensive income,,Share in total comprehensive income,
,"As % of consolidated
net assets",Amount,"As % of consolidated
profit or loss",Amount,"As % of other
consolidated
comprehensive income",Amount,"As % of total
comprehensive
income",Amount
"Parent
Meesho Limited (formerly known as Meesho Private
Limited/Fashnear Technologies Private Limited)
Indian Subsidiaries
Meesho Grocery Private Limited
Meesho Technologies Private Limited
Meesho Payments Private Limited
Foreign Subsidiaries
PT Fashnear Technology Indonesia, Indonesia
Fashnear Shenzhen Trading Co. Ltd, China
(liquidated w.e.f. May 09, 2024)
Consolidation adjustments/ eliminations","102.53%
(11.59%)
(828.79%)
(0.08%)
0.01%
0.01%
837.91%","22,285.02
(2,519.97)
(180,142.25)
(17.17)
2.41
1.54
182,125.92","98.30%
2.33%
6.01%
0.45%
0.01%
0.00%
(7.10%)","(24,701.72)
(584.99)
(1,511.18)
(112.62)
(1.40)
(0.93)
1,783.93","61.42%
(1.98%)
(67.67%)
(1.03%)
(1.23%)
(0.52%)
111.01%","(7.77)
0.25
8.56
0.13
0.16
0.07
(14.05)","98.28%
2.33%
5.98%
0.45%
0.00%
0.00%
(7.04%)","(24,709.49)
(584.74)
(1,502.62)
(112.49)
(1.24)
(0.86)
1,769.88"
Total,100.00%,"21,735.50",100.00%,"(25,128.91)",100.00%,(12.65),100.00%,"(25,141.56)"
Name of the entity in the group,"Net assets i.e. total assets minus
liabilities",,Share in profit or loss,,Share in other comprehensive income,,Share in total comprehensive income,
,"As % of consolidated
net assets",Amount,"As % of consolidated
profit or loss",Amount,"As % of other
consolidated
comprehensive income",Amount,"As % of total
comprehensive
income",Amount
"Parent
Meesho Limited (formerly known as Meesho Private
Limited/Fashnear Technologies Private Limited)
Indian Subsidiaries
Meesho Grocery Private Limited
Meesho Technologies Private Limited
Meesho Payments Private Limited
Foreign Subsidiaries
PT Fashnear Technology Indonesia, Indonesia
Fashnear Shenzhen Trading Co. Ltd, China
(liquidated w.e.f. 09 May 2024)
Consolidation adjustments/ eliminations","104.91%
(18.87%)
(1280.41%)
(1.13%)
0.02%
0.01%
1295.47%","15,165.53
(2,728.12)
(185,085.17)
(163.00)
2.17
1.52
187,262.25","98.52%
2.01%
16.30%
0.66%
0.00%
0.00%
(17.49%)","(38,833.94)
(793.72)
(6,424.53)
(259.45)
(1.41)
(0.93)
6,896.93","73.24%
(2.27%)
57.48%
2.57%
0.19%
(0.11%)
(31.10%)","(26.77)
0.83
(21.01)
(0.94)
(0.07)
0.04
11.37","98.50%
2.01%
16.34%
0.66%
0.00%
0.00%
(17.51%)","(38,860.71)
(792.89)
(6,445.54)
(260.39)
(1.48)
(0.89)
6,908.30"
Total,100.00%,"14,455.18",100.00%,"(39,417.05)",100.00%,(36.55),100.00%,"(39,453.60)"
Name of the entity in the group,"Net assets i.e. total assets minus
liabilities",,Share in profit or loss,,Share in other comprehensive income,,Share in total comprehensive income,
,"As % of consolidated
net assets",Amount,"As % of consolidated
profit or loss",Amount,"As % of other
consolidated
comprehensive income",Amount,"As % of total
comprehensive
income",Amount
"Parent
Meesho Limited (formerly known as Meesho Private
Limited/Fashnear Technologies Private Limited)
Indian Subsidiaries
Meesho Payments Private Limited
Foreign Subsidiaries
PT Fashnear Technology Indonesia, Indonesia
Fashnear Shenzhen Trading Co. Ltd, China
Consolidation adjustments/ eliminations","100.53%
(0.08%)
0.02%
0.01%
(0.48%)","22,413.87
(18.21)
3.65
2.40
(105.29)","97.19%
2.82%
0.06%
0.02%
(0.09%)","(3,184.46)
(92.36)
(1.84)
(0.70)
2.95","103.97%
0.07%
(0.52%)
(0.29%)
(3.23%)","41.70
0.03
(0.21)
(0.11)
(1.30)","97.11%
2.85%
0.06%
0.02%
(0.04%)","(3,142.76)
(92.33)
(2.05)
(0.81)
1.65"
Total,100.00%,"22,296.42",100.00%,"(3,276.41)",100.00%,40.11,100.00%,"(3,236.30)"
Name of the entity in the group,"Net assets i.e. total assets minus
liabilities",,Share in profit or loss,,Share in other comprehensive income,,Share in total comprehensive income,
,"As % of consolidated
net assets",Amount,"As % of consolidated
profit or loss",Amount,"As % of other
consolidated
comprehensive income",Amount,"As % of total
comprehensive
income",Amount
"Parent
Meesho Limited (formerly known as Meesho Private
Limited/Fashnear Technologies Private Limited)
Indian Subsidiaries
Meesho Payments Private Limited
Foreign Subsidiaries
PT Fashnear Technology Indonesia, Indonesia
Fashnear Shenzhen Trading Co. Ltd, China
Consolidation adjustments/ eliminations","100.10%
0.25%
0.02%
0.01%
(0.38%)","24,743.06
60.58
5.70
3.22
(93.41)","99.95%
0.06%
0.01%
0.04%
(0.06%)","(16,710.38)
(9.40)
(1.73)
(6.03)
8.52","100.66%
-
0.02%
0.00%
(0.68%)","1,084.35
-
0.25
0.02
(7.34)","99.90%
0.06%
0.01%
0.04%
(0.01%)","(15,626.03)
(9.40)
(1.49)
(6.01)
1.19"
Total,100.00%,"24,719.15",100.00%,"(16,719.02)",100.00%,"1,077.28",100.00%,"(15,641.74)"
