Name of the struck off company,"Nature of transactions with struck
off company","Balance outstanding as at
September 30, 2025*","Balance outstanding as at
September 30, 2024*","Balance outstanding as at
March 31, 2025*","Relationship with the
struck off company"
Kalakari Film Festival Private Limited,Trade receivables,-,(0.00),(0.00),Seller
Toughcons City Homes Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Kledings Fashion Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Sahani Packaging Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Yuvameds Healthcare & Pharmaceuticals Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Narendra Surfactant And Speciality Chemicals Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Dsquare Foods Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Ashvik Curis Private Limited,Trade receivables,(0.01),(0.01),(0.01),Seller
Pupoy India Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Dhamal Exim India Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Hrdya Apparel Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Mantra Aqua Foods And Beverages Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Purotic Hygiene India Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Quality Technoplus Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Kplar Private Limited,Trade receivables,-,(0.00),(0.00),Seller
Saccharum Enterprises Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Scord Technologies Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Grey Francolin Ventures Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Gromo Systems Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Arzoo Bagline Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Yoojas India Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Swasthya Herbocosmetics Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Trueveda Wellness Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Sheez Enterprises Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
High On Game Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Vijideena Techno Services Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Grafique Business Service Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Technistar India Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Mchoice Private Limited,Trade receivables,(0.01),(0.01),(0.01),Seller
Debnath Communication Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Kiranaboss Home Products Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Bebo Club Technology Private Limited,Marketplace related payables,0.00,-,0.07,Seller
Bebo Club Technology Private Limited,Trade receivables,-,(0.00),-,Seller
Nutreemax Wellness Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Fugo Living Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Rajputana Designers Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Namo Narayan Metals Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Desi Originals Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Beauty Cosmo & Lifestyle Private Limited,Marketplace related payables,-,0.00,0.00,Seller
Top Look Garments Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Leora Products And Services Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Babuana Trading Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Kofa Jeans Private Limited,Trade receivables,(0.00),(0.00),(0.00),Seller
Akshzen Trade Export Private Limited,Marketplace related payables,-,0.00,0.00,Seller
