,(₹ in million),,,,,,,,,,,,,,,
Particulars,,,Six months period ended,,,,,Fiscal,,,,,,,,
,,,September 30,,,,,,,,,,,,,
,,,2025,,,2024,,,2025,,,2024,,,2023,
"fair value through profit or
loss",,,,,,,,,,,,,,,,
Subtotal (D),,"2,408.16",,,"2,160.25",,,"16,664.02",,,"2,660.89",,,"1,060.00",,
Less:,,,,,,,,,,,,,,,,
"Interest income on bank
deposits, bonds, certificate
of deposits and commercial
papers",,(742.60),,,"(1,340.71)",,,"(2,599.57)",,,"(2,007.15)",,,(958.87),,
"Interest income on security
deposits",,(2.65),,,(2.20),,,(4.48),,,(4.80),,,(0.98),,
"Gain on sale of current
investments (net)",,"(1,034.85)",,,(307.57),,,(643.06),,,(289.09),,,(514.08),,
"Gain on liquidation of a
subsidiary",,-,,,-,,,-,,,(4.07),,,-,,
"Interest on income tax
refund",,-,,,(11.59),,,(11.61),,,(9.70),,,(3.32),,
"Net gain on disposal of
property, plant and
equipment",,(0.19),,,-,,,-,,,(1.69),,,-,,
"Fair value gain on
derivative instruments at
fair value through profit or
loss",,(493.90),,,(102.08),,,(301.29),,,-,,,-,,
"Fair value gain on
investments at fair value
through profit and loss",,(146.39),,,(397.22),,,"(1,156.05)",,,(14.33),,,(114.81),,
"Exchange differences
relating to disposal of a
foreign subsidiary",,-,,,(4.46),,,(4.46),,,-,,,-,,
Subtotal (E ),,"(2,420.58)",,,"(2,165.83)",,,"(4,720.52)",,,"(2,330.83)",,,"(1,592.06)",,
"Adjusted EBITDA (F) =
(C+D+E)",,"(5,518.72)",,,(543.97),,,"(2,195.91)",,,"(2,301.53)",,,"(16,937.33)",,
