Accumulated depreciation,,,,,,,,,
"As at April 01, 2022",-,-,-,-,-,-,-,-,-
"Charge for the year
Disposal/Transfer","-
-","1 0.27
-","3 .81
-","4 .25
-","9 .65
-","1 18.08
-","3 .06
-","5 .52
-","1 54.64
-"
"As at March 31, 2023",-,1 0.27,3 .81,4 .25,9 .65,1 18.08,3 .06,5 .52,1 54.64
"Charge for the year
Disposal/Transfer","-
-","1 0.87
-","2 .89
-","6 .94
-","1 2.90
-","1 56.25
( 19.72)","4 .30
-","5 .91
( 0.14)","2 00.06
( 19.86)"
"As at March 31, 2024",-,2 1.14,6 .70,1 1.19,2 2.55,2 54.61,7 .36,1 1.29,3 34.84
"Charge for the year
Disposal/Transfer","-
-","4 1.18
-","3 .28
-","1 4.02
-","3 2.54
-","2 11.32
-","2 5.38
-","1 1.27
-","3 38.99
-"
"As at March 31, 2025",-,6 2.32,9 .98,2 5.21,5 5.09,4 65.93,3 2.74,2 2.56,6 73.83
"Charge for the period
Disposal/Transfer",-,"2 0.10
-","1 .70
-","7 .15
-","1 4.29
-","1 26.43
-","1 1.95
-","6 .52
-","1 88.14
-"
"As at September 30, 2025",-,8 2.42,1 1.68,3 2.36,6 9.38,5 92.36,4 4.69,2 9.08,8 61.97
Net Block,,,,,,,,,
"As at March 31, 2023",1 8.36,1 07.01,5 .10,4 .32,3 7.73,3 36.07,1 1.69,1 2.93,5 33.21
"As at March 31, 2024",1 8.36,7 33.64,5 .46,1 4.30,1 15.51,8 34.65,8 3.12,2 0.69,"1 ,825.73"
"As at March 31, 2025",5 7.12,7 25.64,5 .40,1 5.26,1 01.31,"1 ,022.67",7 8.24,3 1.07,"2 ,036.71"
"As at September 30, 2025",5 7.63,7 16.69,9 .83,1 5.88,9 0.39,"1 ,316.85",8 7.78,4 4.25,"2 ,339.30"
