Particulars,,As at and for,,,,,,
,,6 months,,Fiscal 2025,Fiscal 2024,Fiscal 2023,Fiscal 2023,
,,ended,,,,,,
,,"September 30,",,,,,,
,,2025,,,,,,
,,"(₹ million, unless otherwise stated)",,,,,,
Restated profit for the year / period (I),277.79,,,438.65,189.08,322.92,,
Other income (II),85.22,,,67.93,37.72,63.82,,
Finance costs (III),195.25,,,297.34,142.38,93.58,,
"Depreciation and amortisation expense
(IV)",222.66,,,385.19,229.84,165.14,,
Total tax expense (V),90.36,,,123.22,125.78,116.74,,
EBITDA (VI = I-II+III+IV+V),700.84,,,"1,176.47",649.36,634.56,,
Revenue from Operations (VII),"2,281.70",,,"3,429.13","1,781.80","1,773.31",,
"EBITDA Margin (%) (VIII) =
(VII/VIII)",30.72,,,34.31,36.44,35.78,,
