page,table_index,rows,cols,csv_file,csv_path
351,0,5,2,page_0351_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\OMNITECH ENGINEERING LIMITED - RHP\dumped_tables\page_0351_table_00.csv
353,0,3,2,page_0353_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\OMNITECH ENGINEERING LIMITED - RHP\dumped_tables\page_0353_table_00.csv
353,1,2,3,page_0353_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\OMNITECH ENGINEERING LIMITED - RHP\dumped_tables\page_0353_table_01.csv
356,0,5,6,page_0356_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\OMNITECH ENGINEERING LIMITED - RHP\dumped_tables\page_0356_table_00.csv
356,1,5,6,page_0356_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\OMNITECH ENGINEERING LIMITED - RHP\dumped_tables\page_0356_table_01.csv
357,0,5,6,page_0357_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\OMNITECH ENGINEERING LIMITED - RHP\dumped_tables\page_0357_table_00.csv
357,1,5,6,page_0357_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\OMNITECH ENGINEERING LIMITED - RHP\dumped_tables\page_0357_table_01.csv
358,0,3,7,page_0358_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\OMNITECH ENGINEERING LIMITED - RHP\dumped_tables\page_0358_table_00.csv
363,0,7,2,page_0363_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\OMNITECH ENGINEERING LIMITED - RHP\dumped_tables\page_0363_table_00.csv
375,0,7,7,page_0375_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\OMNITECH ENGINEERING LIMITED - RHP\dumped_tables\page_0375_table_00.csv
376,0,3,3,page_0376_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\OMNITECH ENGINEERING LIMITED - RHP\dumped_tables\page_0376_table_00.csv
376,1,4,3,page_0376_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\OMNITECH ENGINEERING LIMITED - RHP\dumped_tables\page_0376_table_01.csv
