"As at March 31, 2025",Amount in CWIP for a period of,,,
,< 1 year,1-2 years,2-3 years,> 3 years
"Projects in progress#
Projects temporarily suspended
Total","256.12
-","-
-","-
-","-
-"
,256.12,-,-,-
"As at September 30, 2025",Amount in CWIP for a period of,,,
,< 1 year,1-2 years,2-3 years,> 3 years
"Projects in progress#
Projects temporarily suspended
Total","139.51
-","-
-","-
-","-
-"
,139.51,-,-,-
"As at March 31, 2025",Amount in intangible asset under development for the period of,,,
,< 1 year,1-2 years,2-3 years,> 3 years
"Projects in progress #
Projects temporarily suspended
Total","5 .21
-","4 .17
-","-
-","-
-"
,5 .21,4 .17,-,-
"As at September 30, 2025",Amount in intangible asset under development for the period of,,,
,< 1 year,1-2 years,2-3 years,> 3 years
"Projects in progress #
Projects temporarily suspended
Total","2 8.39
-","1 .12
-","4 .17
-","-
-"
,2 8.39,1 .12,4 .17,-
