Particulars,Outstanding for following periods from transaction date,Total
,"Less than 1
1-2 years 2-3 years More than 3 years
year",
"MSME
Others
Disputed dues - MSME
Disputed dues - Others","5 40.11 - - -
2 68.46 4 .38 - -
- - - -
- - - -","540.11
272.84
-
-"
Total,8 08.57 4 .38 - - 8 12.95,
Particulars,Outstanding for following periods from transaction date,Total
,"Less than 1
1-2 years 2-3 years More than 3 years
year",
"MSME
Others
Disputed dues - MSME
Disputed dues - Others","1 97.62 0 .09 - -
1 46.58 0 .45 - -
- - - -
- - - -","197.71
147.03
-
-"
Total,3 44.20 0 .54 - - 3 44.74,
Particulars,Outstanding for following periods from transaction date,Total
,"Less than 1
1-2 years 2-3 years More than 3 years
year",
"MSME
Others
Disputed dues - MSME
Disputed dues - Others","2 53.88 - - -
4 8.85 - - -
- - - -
- - - -","253.88
48.85
-
-"
Total,3 02.73 - - - 3 02.73,
Particulars,Outstanding for following periods from transaction date,Total
,"Less than 1
1-2 years 2-3 years More than 3 years
year",
"MSME
Others
Disputed dues - MSME
Disputed dues - Others","6 9.49 0 .40 0 .16 -
2 3.22 0 .38 6 .44 -
- - - -
- - - -","70.05
30.04
-
-"
Total,9 2.71 0 .78 6 .60 - 1 00.09,
