Sr No.,Particulars,Note,"From April 01, 2025 to
September 30, 2025","March 31, 2025","March 31, 2024","March 31, 2023"
"I
II
III
IV
V
VI
VII
X","Revenue from operations
Other income
Total Income
Expenses
Purchases of stock-in-trade
Changes in inventories of finished goods
Employee benefits expense
Finance costs
Depreciation and amortisation expenses
Other expenses
Total Expenses
Profit before tax (I - II)
Income tax expense
(a) Current tax
(b) Deferred tax
Total income tax expense
Profit for the year/ period (III - IV)
Other Comprehensive Income
Items that will not to be reclassified to profit or loss:
Remeasurement of post employement defined benefit plans
Income tax relating to items that will not be reclassified to profit or loss
Total other comprehensive income (net of tax)
Total comprehensive income for the year/ period (V + VI)
Earning Per equity share (Face value of INR 10 each)
- Basic ( in INR)
- Diluted ( in INR)","23
24
25
26
27
28
29
30
37
38
31","1,567.18
3.99","2,581.83
9.23","1,956.34
6.02","1,988.48
4 .99"
,,,"1,571.17","2,591.06","1,962.36","1,993.47"
,,,"2,485.72
(1,336.48)
33.52
41.56
2.13
76.50","1,971.41
( 304.58)
37.60
12.91
0.33
81.29","1,663.63
( 340.59)
25.54
0.55
0.10
46.37","1,392.64
(158.93)
21.73
0 .42
0 .10
45.73"
,,,"1,302.95","1,798.96","1,395.60","1,301.69"
,,,"268.22
6 9.38
( 2.49)","792.10
1 98.82
( 1.46)","566.76
1 42.79
( 0.17)","691.78
1 74.43
( 0.12)"
,,,6 6.89,197.36,142.62,174.31
,,,201.33,594.74,424.14,517.47
,,,"( 0.21)
0.05","4 .51
( 1.14)","( 0.14)
0.04","0 .05
( 0.01)"
,,,(0.16),3.37,(0.10),0 .04
,,,201.17,598.11,424.04,517.51
,,,"9.21
9.21","35.21
35.21","-
-","-
-"
