Particulars,Amount
"Balance as at April 1, 2022
Changes in partner's capital during the year
Balance as at March 31, 2023
Balance as at April 1, 2023
Changes in partner's capital during the year
Balance as at March 31, 2024
Balance as at April 1, 2024
Changes in partner's capital during the period
Conversion of partner's capital into equity share capital w.e.f
December 20, 2024
Balance as at December 19, 2024
Balance as at December 20, 2024
Conversion of partner's capital into equity share capital w.e.f
December 20, 2024
Add: Issue of shares
Balance as at March 31, 2025
Balance as at April 1, 2025
Add: Issue of shares
Balance as at September 30, 2025","92.01
(4.76)"
,87.25
,"87.25
4.19"
,91.44
,"91.44
(54.84)
(36.60)"
,-
,"-
36.60
11.99"
,48.59
,"48.59
170.07"
,218.66
