Particulars,Outstanding for the following periods from due date of payment,,,,
,Less than 1 year,1-2 Years,2-3 Years,More than 3 Years,Total
"As at September 30, 2025
Undisputed - MSME
Undisputed - Others
Disputed - MSME
Disputed - Others","213.51
663.13
-
-","-
-
-
-","-
-
-
-","-
-
-
-","213.51
663.13
-
-"
Total,8 76.64,-,-,-,8 76.64
"As at March 31, 2025
Undisputed - MSME
Undisputed - Others
Disputed - MSME
Disputed - Others","4 9.54
275.28
-
-","-
-
-
-","-
-
-
-","-
-
-
-","49.54
275.28
-
-"
Total,3 24.82,-,-,-,3 24.82
"As at March 31, 2024
Undisputed - MSME
Undisputed - Others
Disputed - MSME
Disputed - Others","4 2.63
148.81
-
-","-
0.09
-
-","-
-
-
-","-
-
-
-","4 2.63
148.89
-
-"
Total,1 91.44,0 .09,-,-,1 91.52
"As at March 31, 2023
Undisputed - MSME
Undisputed - Others
Disputed - MSME
Disputed - Others","4.18
7 8.54
-
-","-
-
-
-","-
-
-
-","-
-
-
-","4.18
78.54
-
-"
Total,82.72,-,-,-,82.72
