Particulars,Level 1,Level 2,Level 3
"As at September 30, 2025
Financial assets",-,-,-
Total,-,-,-
Financial liabiltiies,-,-,-
Total,-,-,-
"As at March 31, 2025
Financial assets",-,-,-
Total,-,-,-
Financial liabiltiies,-,-,-
Total,-,-,-
"As at March 31, 2024
Financial assets
Investments
Other financial assets","9 .12
0 .01","-
-","-
-"
Total,9 .13,-,-
"Financial liabiltiies
Other financial liabilities",0 .06,-,-
Total,0 .06,-,-
"As at March 31, 2023
Financial assets
Investment",1 0.41,-,-
Total,1 0.41,-,-
"Financial liabiltiies
Other financial liabilities",0 .15,-,-
Total,0 .15,-,-
