Particulars,On demand,Within 1 year,1-5 years,Total
"As at September 30, 2025
Lease liabilities
Borrowings
Trade payables
Other financial liabilities","-
-
-
-","6 .63
1 ,302.49
876.64
9 .64","2 4.29
-
-
-","3 0.92
1 ,302.49
876.64
9 .64"
Total,-,"2,195.40",24.29,"2,219.69"
"As at March 31, 2025
Lease liabilities
Borrowings
Trade payables
Other financial liabilities","-
-
-
-","0 .68
906.50
324.82
0 .44","2 .58
-
-
-","3 .26
906.50
324.82
0 .44"
Total,-,"1,232.44",2 .58,"1,235.02"
"As at March 31, 2024
Trade payables
Other financial liabilities
Payable on account of common control transaction
(including applicable taxes on above - GST)",,,,"191.52
1 .40
1 ,670.96"
,-,191.52,-,
,"-
-","1 .40
1 ,670.96",-,
,,,-,
Total,-,"1,863.88",-,"1,863.88"
"As at March 31, 2023
Trade payables
Other financial liabilities
Payable on account of common control transaction
(including applicable taxes on above - GST)",,,,"8 2.72
2 .25
1 ,670.96"
,-,8 2.72,-,
,"-
-","2 .25
-",-,
,,,"1,670.96",
Total,-,8 4.97,"1 ,670.96","1,755.93"
