page,table_index,rows,cols,csv_file,csv_path
266,0,6,4,page_0266_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\PNGS REVA DIAMOND JEWELLERY LIMITED  - RHP\dumped_tables\page_0266_table_00.csv
269,0,18,3,page_0269_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\PNGS REVA DIAMOND JEWELLERY LIMITED  - RHP\dumped_tables\page_0269_table_00.csv
279,0,14,7,page_0279_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\PNGS REVA DIAMOND JEWELLERY LIMITED  - RHP\dumped_tables\page_0279_table_00.csv
280,0,12,7,page_0280_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\PNGS REVA DIAMOND JEWELLERY LIMITED  - RHP\dumped_tables\page_0280_table_00.csv
281,0,14,6,page_0281_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\PNGS REVA DIAMOND JEWELLERY LIMITED  - RHP\dumped_tables\page_0281_table_00.csv
282,0,11,2,page_0282_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\PNGS REVA DIAMOND JEWELLERY LIMITED  - RHP\dumped_tables\page_0282_table_00.csv
282,1,4,6,page_0282_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\PNGS REVA DIAMOND JEWELLERY LIMITED  - RHP\dumped_tables\page_0282_table_01.csv
291,0,21,5,page_0291_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\PNGS REVA DIAMOND JEWELLERY LIMITED  - RHP\dumped_tables\page_0291_table_00.csv
292,0,21,2,page_0292_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\PNGS REVA DIAMOND JEWELLERY LIMITED  - RHP\dumped_tables\page_0292_table_00.csv
293,0,2,5,page_0293_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\PNGS REVA DIAMOND JEWELLERY LIMITED  - RHP\dumped_tables\page_0293_table_00.csv
294,0,9,2,page_0294_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\PNGS REVA DIAMOND JEWELLERY LIMITED  - RHP\dumped_tables\page_0294_table_00.csv
294,1,9,2,page_0294_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\PNGS REVA DIAMOND JEWELLERY LIMITED  - RHP\dumped_tables\page_0294_table_01.csv
295,0,9,2,page_0295_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\PNGS REVA DIAMOND JEWELLERY LIMITED  - RHP\dumped_tables\page_0295_table_00.csv
295,1,9,2,page_0295_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\PNGS REVA DIAMOND JEWELLERY LIMITED  - RHP\dumped_tables\page_0295_table_01.csv
295,2,5,2,page_0295_table_02.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\PNGS REVA DIAMOND JEWELLERY LIMITED  - RHP\dumped_tables\page_0295_table_02.csv
296,0,9,2,page_0296_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\PNGS REVA DIAMOND JEWELLERY LIMITED  - RHP\dumped_tables\page_0296_table_00.csv
297,0,21,4,page_0297_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\PNGS REVA DIAMOND JEWELLERY LIMITED  - RHP\dumped_tables\page_0297_table_00.csv
298,0,5,5,page_0298_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\PNGS REVA DIAMOND JEWELLERY LIMITED  - RHP\dumped_tables\page_0298_table_00.csv
298,1,3,5,page_0298_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\PNGS REVA DIAMOND JEWELLERY LIMITED  - RHP\dumped_tables\page_0298_table_01.csv
298,2,3,5,page_0298_table_02.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\PNGS REVA DIAMOND JEWELLERY LIMITED  - RHP\dumped_tables\page_0298_table_02.csv
298,3,3,5,page_0298_table_03.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\PNGS REVA DIAMOND JEWELLERY LIMITED  - RHP\dumped_tables\page_0298_table_03.csv
299,0,3,5,page_0299_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\PNGS REVA DIAMOND JEWELLERY LIMITED  - RHP\dumped_tables\page_0299_table_00.csv
299,1,3,5,page_0299_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\PNGS REVA DIAMOND JEWELLERY LIMITED  - RHP\dumped_tables\page_0299_table_01.csv
299,2,2,5,page_0299_table_02.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\PNGS REVA DIAMOND JEWELLERY LIMITED  - RHP\dumped_tables\page_0299_table_02.csv
300,0,3,5,page_0300_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\PNGS REVA DIAMOND JEWELLERY LIMITED  - RHP\dumped_tables\page_0300_table_00.csv
300,1,4,7,page_0300_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\PNGS REVA DIAMOND JEWELLERY LIMITED  - RHP\dumped_tables\page_0300_table_01.csv
300,2,4,7,page_0300_table_02.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\PNGS REVA DIAMOND JEWELLERY LIMITED  - RHP\dumped_tables\page_0300_table_02.csv
300,3,4,7,page_0300_table_03.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\PNGS REVA DIAMOND JEWELLERY LIMITED  - RHP\dumped_tables\page_0300_table_03.csv
300,4,4,7,page_0300_table_04.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\PNGS REVA DIAMOND JEWELLERY LIMITED  - RHP\dumped_tables\page_0300_table_04.csv
301,0,3,5,page_0301_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\PNGS REVA DIAMOND JEWELLERY LIMITED  - RHP\dumped_tables\page_0301_table_00.csv
301,1,3,5,page_0301_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\PNGS REVA DIAMOND JEWELLERY LIMITED  - RHP\dumped_tables\page_0301_table_01.csv
302,0,3,5,page_0302_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\PNGS REVA DIAMOND JEWELLERY LIMITED  - RHP\dumped_tables\page_0302_table_00.csv
302,1,2,3,page_0302_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\PNGS REVA DIAMOND JEWELLERY LIMITED  - RHP\dumped_tables\page_0302_table_01.csv
302,2,2,3,page_0302_table_02.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\PNGS REVA DIAMOND JEWELLERY LIMITED  - RHP\dumped_tables\page_0302_table_02.csv
303,0,4,3,page_0303_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\PNGS REVA DIAMOND JEWELLERY LIMITED  - RHP\dumped_tables\page_0303_table_00.csv
303,1,4,3,page_0303_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\PNGS REVA DIAMOND JEWELLERY LIMITED  - RHP\dumped_tables\page_0303_table_01.csv
