Particulars,"Office
equipment",Computer,Furniture & Fixtures,Total
"Gross Block
Balance as at April 1, 2022
Additions
Disposals","-
-
-","-
-
-","-
-
-","-
-
-"
"Balance as at March 31, 2023",-,-,-,-
"Balance as at April 1, 2023
Additions
Disposals","-
-
-","-
-
-","-
-
-","-
-
-"
"Balance as at March 31, 2024",-,-,-,-
"Balance as at April 1, 2024
Additions
Disposals","-
0.44
-","-
1.77
-","-
-
-","-
2.21
-"
"Balance as at March 31, 2025",0.44,1.77,-,2.21
"Balance as at April 1, 2025
Additions
Disposals","0.44
4.55
-","1.77
0.68
-","-
0.49
-","2.21
5.72
-"
"Balance as at September 30, 2025",4.99,2.45,0.49,7.93
"Accumulated Depreciation
Balance as at April 1, 2022
Depreciation for the year
Disposals","-
-
-","-
-
-","-
-
-","-
-
-"
"Balance as at March 31, 2023",-,-,-,-
"Balance as at April 1, 2023
Depreciation for the year
Disposals","-
-
-","-
-
-","-
-
-","-
-
-"
"Balance as at March 31, 2024",-,-,-,-
"Balance as at April 1, 2024
Depreciation for the year
Disposals","-
0.01
-","-
0.09
-","-
-
-","-
0.10
-"
"Balance as at March 31, 2025",0.01,0.09,-,0.10
"Balance as at April 1, 2025
Depreciation for the period
Disposals","0.01
0.19
-","0.09
0.32
-","-
0.01","0.10
0.52
-"
"Balance as at September 30, 2025",0.20,0.41,0.01,0.62
"Net Block as on March 31, 2023",-,-,-,-
"Net Block as on March 31, 2024",-,-,-,-
"Net Block as on March 31, 2025",0.43,1.68,-,2.11
"Net Block as on September 30, 2025",4.79,2.04,0.48,7.31
