Particulars,Amount
"Gross Block
Deemed cost as at April 1, 2022*
Additions
Disposals","5 .05
-
-"
"Balance as at March 31, 2023",5 .05
"Balance as at April 1, 2023
Additions
Disposals","5 .05
-
-"
"Balance as at March 31, 2024",5 .05
"Balance as at April 1, 2024
Additions
Disposals","-
( 5.05)"
"Balance as at March 31, 2025",-
"Balance as at April 1, 2025
Additions
Disposals","-
-"
"Balance as at September 30, 2025",-
"Accumulated Depreciation
Deemed cost as at April 1, 2022*
Depreciation for the year
Disposals","-
0 .10
-"
"Balance as at March 31, 2023",0 .10
"Balance as at April 1, 2023
Depreciation for the year
Disposals","0 .10
0.10
-"
"Balance as at March 31, 2024",0 .20
"Balance as at April 1, 2024
Depreciation for the year
Disposals","0.06
(0.26)"
"Balance as at March 31, 2025",-
"Balance as at April 1, 2025
Depreciation for the period
Disposals","-
-"
"Balance as at September 30, 2025",-
"Net Block as on March 31, 2023",4.95
"Net Block as on March 31, 2024",4.85
"Net Block as on March 31, 2025",-
"Net Block as on September 30, 2025",-
