Depreciation for the year,-,0.06,0.10,0.10
"Non- current
Measured at amortised cost
Unsecured, considered good
Fixed deposits with remaining maturity of more than 12 months from
balance sheet date*
Security deposits","25.00
2.53","-
-","3.38
-","63.25
-"
Total,2 7.53,-,3.38,63.25
"Current
Measured at amortised cost
Security deposits
Fixed deposits with original maturity of more than 12 months but
remaining maturity of less than 12 months from balance sheet date*
Deposit money with broker
Derivative financial asset
Other receivables","0.03
29.44
-
-
0.71","0.35
3.38
-
-
0.21","-
60.00
3.33
0.01
-","-
0.15
0.02
-
-"
Total,3 0.18,3 .94,63.34,0.17
Prepaid expenses,1.50,0.16,-,-
Total,1 .50,0.16,-,-
Finished goods,"3,130.65","1,794.17","1,489.59","1,149.00"
Total,"3 ,130.65","1,794.17","1,489.59","1,149.00"
"- Unsecured, considered good",11.91,1.57,-,-
Total,1 1.91,1 .57,-,-
"Current
Secured
Working capital demand loan from bank
(Refer note: 17(a))","1,302.49",906.50,-,-
Total,"1,302.49",906.50,-,-
