Particulars,Buildings
"Gross carrying amount
Balance as at April 1, 2022
Additions
Deletions
Balance as at March 31, 2023
Balance as at April 1, 2023
Additions
Deletions
Balance as at March 31, 2024
Balance as at April 1, 2024
Additions
Deletions
Balance as at March 31, 2025
Balance as at April 1, 2025
Additions
Deletions
Balance as at September 30, 2025","-
-
-"
,-
,"-
-
-"
,-
,"-
2 .70
-"
,2 .70
,"2.70
2 2.71
-"
,2 5.41
Particulars,Buildings
"Accumulated depreciation
Balance as at April 1, 2022
Amortisation expense
Disposals
Balance as at March 31, 2023
Balance as at April 1, 2023
Amortisation expense
Disposals
Balance as at March 31, 2024
Balance as at April 1, 2024
Amortisation expense
Disposals
Balance as at March 31, 2025
Balance as at April 1, 2025
Amortisation expense
Disposals
Balance as at September 30, 2025","-
-
-"
,-
,"-
-
-"
,-
,"-
(0.15)
-"
,( 0.15)
,"(0.15)
(1.47)
-"
,( 1.62)
