Particulars,"Computer
software","Other intangible
assets",Total
"Gross Block
Balance as at April 1, 2022
Additions
Disposals","-
-
-","-
-
-","-
-
-"
"Balance as at March 31, 2023",-,-,-
"Balance as at April 1, 2023
Additions
Disposals","-
-
-","-
-
-","-
-
-"
"Balance as at March 31, 2024",-,-,-
"Balance as at April 1, 2024
Additions
Disposals","-
2.37
-","-
0.68
-","-
3.05
-"
"Balance as at March 31, 2025",2.37,0.68,3.05
"Balance as at April 1, 2025
Additions
Disposals","2.37
0.30
-","0.68
-
-","3.05
0.30
-"
"Balance as at September 30, 2025",2.67,0.68,3.35
"Accumulated Amortisation
Balance as at April 1, 2022
Amortisation for the year
Disposals","-
-
-","-
-
-","-
-
-"
"Balance as at March 31, 2023",-,-,-
"Balance as at April 1, 2023
Amortisation for the year
Disposals","-
-
-","-
-
-","-
-
-"
"Balance as at March 31, 2024",-,-,-
"Balance as at April 1, 2024
Amortisation for the year
Disposals","-
0.01
-","-
0.00
-","-
0.01
-"
"Balance as at March 31, 2025",0.01,0.00,0.01
"Balance as at April 1, 2025
Amortisation for the period
Disposals","0.01
0.13
-","0.00
0.02
-","0.01
0.15
-"
"Balance as at September 30, 2025",0.14,0.02,0.16
"Net Block as on March 31, 2023",-,-,-
"Net Block as on March 31, 2024",-,-,-
"Net Block as on March 31, 2025",2.36,0.68,3.04
"Net Block as on September 30, 2025",2.53,0.66,3.19
