"AMIR CHAND JAGDISH KUMAR (EXPORTS) LIMITED
CIN: U15312DL2003PLC121979
(ANNEXURE-II) RESTATED CONSOLIDATED PROFIT & LOSS STATEMENT",,,,,
Particulars,Note,"Six month period
ended September
30, 2025","For the year ended
March 31, 2025","For the year ended
March 31, 2024","For the year ended
March 31, 2023"
,,(₹) in Millions,(₹) in Millions,(₹) in Millions,(₹) in Millions
(I) Revenue from operations,21,"10,212.46","20,016.47","15,495.24","13,158.48"
(II) Other income,22,30.51,23.82,18.97,20.13
(III) Total Income (l+Il),,"10,242.97","20,040.28","15,514.21","13,178.61"
(IV) Expenses,,,,,
Cost of materials consumed,23,"8,419.11","17,313.49","12,551.36","11,118.25"
Purchases of stock in trade,24,21.78,42.70,26.42,40.46
"Changes in inventories of finished goods ,work in
progress & stock-in-trade",25,214.44,(388.01),422.64,(101.34)
Employee benefits expenses,26,64.01,140.19,122.23,108.32
Finance costs,27,425.75,787.81,649.01,511.28
Depreciation and amortization expenses,28,32.13,70.25,73.37,73.34
Other expenses,29,435.48,"1,271.58","1,275.94","1,195.86"
Total expenses (IV),,"9,612.69","19,238.01","15,120.98","12,946.17"
"(V) Profit/(loss) before exceptional items and tax
(III-IV)",,630.28,802.28,393.23,232.44
(VI) Exceptional items,,,-,-,-
(VII) Profit/ (loss) before tax(V-VI),,630.28,802.28,393.23,232.44
(VIII) Tax expense:,30,,,,
a) Current tax,,147.20,193.00,96.00,65.50
b) Deferred tax/(Income),,(3.47),(9.98),(9.71),(8.03)
c) Short/Excess Payment of tax in Previous periods,,-,11.03,2.89,0.01
Total tax expense (VIII),,143.73,194.05,89.18,57.48
(IX) Profit (Loss) for the period (VII-VIII),,486.54,608.22,304.05,174.96
(X) Profit/(loss) for the period,,486.54,608.22,304.05,174.96
(XI) Other Comprehensive Income,,,,,
"i) Items that will not be reclassified to Profit
or Loss",,0.74,3.97,2.81,0.02
"ii) Income Tax relating to items that wiil not
be reclassified to Profit or Loss",,(0.19),(0.77),(0.50),(0.00)
"i)Items that will be reclassified to Profit or
Loss",,,-,-,-
"ii) Income Tax relating to items that wiil be
reclassified to Profit or Loss",,,-,-,-
Total Other Comprehensive Income (XI),,0.56,3.21,2.31,0.02
(XII) Total Comprehensive Income (X+XI),,487.10,611.43,306.36,174.98
