Reserves and Surplus,Reserves and Surplus,,,,(₹) in Millions
,"Retained
Earnings",General Reserve,"Securities
Premium","Other
Comprehensive
Income",Total
"Balance as at March 31, 2024",2187.24,447.80,423.20,2.15,3060.40
Add/Less: Total Comprehensive income,608.22,-,-,3.21,611.43
Transfer (to)/from General Reserve,-,-,-,-,-
Transfer (to)/from Other Comprehensive Income,1 .69,-,-,(2.10),(0.41)
Transfer (to)/from equity share capital,(763.26),-,-,-,(763.26)
Any Change in the respective period,-,-,67.24,(1.53),65.70
Transfer (to)/from from Retained Earnings,,,,(2.43),(2.43)
"Balance as at March 31, 2025",2033.90,447.80,490.44,(0.71),2971.43
