Note No 1: Restated Property Plant & Equipment (₹) in Millions,,,,,,,,,
Particular,Land,"Office
Building","Factory
Building","Plant
Machinery","Office
Equipments","Computer
Equipments","Furniture
Fixtures",Vehicles,Total
Gross Value,,,,,,,,,
"As at March 31, 2022",1 02.33,4 8.92,2 4.59,9 32.96,0 .31,0 .75,1 7.35,1 5.18,"1 ,142.40"
Additions for the year,-,-,-,1 3.95,0 .08,0 .06,-,3 .62,1 7.71
Disposals/capitalised,-,-,-,-,-,-,-,3 .48,3 .48
"As at March 31, 2023",1 02.33,4 8.92,2 4.59,9 46.90,0 .39,0 .81,1 7.35,1 5.33,"1 ,156.63"
Additions for the year,-,-,-,9 .48,0 .14,0 .22,-,1 9.48,2 9.31
Disposals/capitalised,0 .16,-,-,0 .09,0 .02,-,-,0 .02,0 .29
"As at March 31, 2024",1 02.18,4 8.92,2 4.59,9 56.29,0 .51,1 .03,1 7.35,3 4.79,"1 ,185.66"
Additions for the year,4 .58,-,-,1 2.86,0 .04,0 .19,0 .05,-,1 7.72
Disposals/capitalised,-,-,-,-,-,-,-,8 .72,8 .72
"As at March 31, 2025",1 06.75,4 8.92,2 4.59,9 69.15,0 .55,1 .23,1 7.41,2 6.07,"1 ,194.66"
Additions for the year,-,-,-,1 4.45,0 .15,0 .38,0 .43,-,1 5.41
Disposals/capitalised,,-,-,-,-,-,-,0 .18,0 .18
"As at September 30, 2025",1 06.75,4 8.92,2 4.59,9 83.60,0 .70,1 .61,1 7.83,2 5.90,"1 ,209.89"
Accumulated depreciation,,,,,,,,,
"For the financial year
ended March 31, 2022",-,0 .89,1 .13,6 3.58,0 .04,0 .14,1 .66,3 .37,7 0.81
Additions for the year,-,0 .92,1 .13,6 3.66,0 .06,0 .16,2 .62,2 .28,7 0.84
Disposals/capitalised,-,-,-,-,-,-,-,3 .29,3 .29
"For the financial year
ended March 31, 2023",-,1 .81,2 .27,1 27.24,0 .10,0 .30,4 .28,2 .36,1 38.36
Additions for the year,-,0 .92,1 .13,6 3.28,0 .05,0 .17,2 .35,2 .97,7 0.87
Disposals/capitalised,-,-,-,0 .09,0 .02,-,-,0 .02,0 .12
"For the financial year
ended March 31, 2024",-,2 .73,3 .40,1 90.43,0 .13,0 .47,6 .63,5 .31,2 09.11
Additions for the year,-,0 .92,1 .13,6 0.04,0 .06,0 .13,1 .56,3 .91,6 7.75
Disposals/capitalised,-,-,-,-,-,-,-,8 .28,8 .28
"For the financial year
ended March 31, 2025",-,3 .65,4 .53,2 50.48,0 .20,0 .60,8 .19,0 .94,2 68.58
Additions for the year,-,0 .46,0 .57,2 8.44,0 .04,0 .10,0 .57,1 .95,3 2.13
Disposals/capitalised,-,-,-,-,-,-,-,-,-
"For the financial year
ended September 30,
2025",-,4 .11,5 .10,2 78.91,0 .24,0 .69,8 .76,2 .89,3 00.71
