page,table_index,rows,cols,csv_file,csv_path
294,0,3,8,page_0294_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\RHP_Amir Chand Jagdish Kumar _Exports_ Limited\dumped_tables\page_0294_table_00.csv
295,0,2,5,page_0295_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\RHP_Amir Chand Jagdish Kumar _Exports_ Limited\dumped_tables\page_0295_table_00.csv
301,0,2,6,page_0301_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\RHP_Amir Chand Jagdish Kumar _Exports_ Limited\dumped_tables\page_0301_table_00.csv
301,1,2,4,page_0301_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\RHP_Amir Chand Jagdish Kumar _Exports_ Limited\dumped_tables\page_0301_table_01.csv
303,0,38,6,page_0303_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\RHP_Amir Chand Jagdish Kumar _Exports_ Limited\dumped_tables\page_0303_table_00.csv
304,0,14,6,page_0304_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\RHP_Amir Chand Jagdish Kumar _Exports_ Limited\dumped_tables\page_0304_table_00.csv
305,0,32,6,page_0305_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\RHP_Amir Chand Jagdish Kumar _Exports_ Limited\dumped_tables\page_0305_table_00.csv
306,0,5,6,page_0306_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\RHP_Amir Chand Jagdish Kumar _Exports_ Limited\dumped_tables\page_0306_table_00.csv
307,0,27,9,page_0307_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\RHP_Amir Chand Jagdish Kumar _Exports_ Limited\dumped_tables\page_0307_table_00.csv
308,0,16,9,page_0308_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\RHP_Amir Chand Jagdish Kumar _Exports_ Limited\dumped_tables\page_0308_table_00.csv
308,1,4,5,page_0308_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\RHP_Amir Chand Jagdish Kumar _Exports_ Limited\dumped_tables\page_0308_table_01.csv
308,2,4,5,page_0308_table_02.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\RHP_Amir Chand Jagdish Kumar _Exports_ Limited\dumped_tables\page_0308_table_02.csv
308,3,4,5,page_0308_table_03.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\RHP_Amir Chand Jagdish Kumar _Exports_ Limited\dumped_tables\page_0308_table_03.csv
309,0,4,5,page_0309_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\RHP_Amir Chand Jagdish Kumar _Exports_ Limited\dumped_tables\page_0309_table_00.csv
310,0,9,6,page_0310_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\RHP_Amir Chand Jagdish Kumar _Exports_ Limited\dumped_tables\page_0310_table_00.csv
310,1,10,6,page_0310_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\RHP_Amir Chand Jagdish Kumar _Exports_ Limited\dumped_tables\page_0310_table_01.csv
310,2,8,6,page_0310_table_02.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\RHP_Amir Chand Jagdish Kumar _Exports_ Limited\dumped_tables\page_0310_table_02.csv
311,0,8,6,page_0311_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\RHP_Amir Chand Jagdish Kumar _Exports_ Limited\dumped_tables\page_0311_table_00.csv
321,0,30,10,page_0321_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\RHP_Amir Chand Jagdish Kumar _Exports_ Limited\dumped_tables\page_0321_table_00.csv
