,,(₹) in Millions,(₹) in Millions,(₹) in Millions,(₹) in Millions
Current liabilities,,,,,
(a) Financial liabilities,17,,,,
- Borrowings,17A,"7,388.69","7,829.51","7,760.60","6,568.03"
- Trade Payables:-,17B,,,,
"(A) total outstanding dues of micro and
small enterprises",,-,-,-,-
"(B) total outstanding dues of creditors other
than micro and small enterprises.",,"1,535.91","1,458.54",552.67,"1,011.18"
"- Other financial liabilities (other than those
specified above)",17C,"1,521.80","2,170.53","1,239.06",233.57
(b) Provisions,18,0.14,0.13,0.12,0.10
(c) Other current liabilities,19,98.35,49.86,15.25,36.36
(d) Current Tax Liabilities (Net),20,262.58,136.64,44.51,24.43
Total Current Liabilities,,"10,807.46","11,645.21","9,612.22","7,873.67"
Total Liabilities,,"15,264.21","15,490.32","12,835.29","10,890.63"
