page,table_index,rows,cols,csv_file,csv_path
300,0,9,12,page_0300_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\SAI PARENTERAL_S LIMITED - RHP\dumped_tables\page_0300_table_00.csv
301,0,2,2,page_0301_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\SAI PARENTERAL_S LIMITED - RHP\dumped_tables\page_0301_table_00.csv
302,0,4,2,page_0302_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\SAI PARENTERAL_S LIMITED - RHP\dumped_tables\page_0302_table_00.csv
303,0,3,12,page_0303_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\SAI PARENTERAL_S LIMITED - RHP\dumped_tables\page_0303_table_00.csv
304,0,20,9,page_0304_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\SAI PARENTERAL_S LIMITED - RHP\dumped_tables\page_0304_table_00.csv
304,1,3,6,page_0304_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\SAI PARENTERAL_S LIMITED - RHP\dumped_tables\page_0304_table_01.csv
310,0,3,5,page_0310_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\SAI PARENTERAL_S LIMITED - RHP\dumped_tables\page_0310_table_00.csv
312,0,13,6,page_0312_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\SAI PARENTERAL_S LIMITED - RHP\dumped_tables\page_0312_table_00.csv
313,0,15,6,page_0313_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\SAI PARENTERAL_S LIMITED - RHP\dumped_tables\page_0313_table_00.csv
314,0,10,5,page_0314_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\SAI PARENTERAL_S LIMITED - RHP\dumped_tables\page_0314_table_00.csv
315,0,5,6,page_0315_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\SAI PARENTERAL_S LIMITED - RHP\dumped_tables\page_0315_table_00.csv
315,1,45,6,page_0315_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\SAI PARENTERAL_S LIMITED - RHP\dumped_tables\page_0315_table_01.csv
317,0,8,2,page_0317_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\SAI PARENTERAL_S LIMITED - RHP\dumped_tables\page_0317_table_00.csv
317,1,4,3,page_0317_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\SAI PARENTERAL_S LIMITED - RHP\dumped_tables\page_0317_table_01.csv
318,0,7,2,page_0318_table_00.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\SAI PARENTERAL_S LIMITED - RHP\dumped_tables\page_0318_table_00.csv
318,1,2,2,page_0318_table_01.csv,E:\404found\Projects\PBL Final\IPO_Automation_System\outputs\processed_ipos\SAI PARENTERAL_S LIMITED - RHP\dumped_tables\page_0318_table_01.csv
