Loans,"Outstanding
loan amount","Repayment in
instalments",Repayment,,"Rate of
interest"
,,,Starting from,Ending on,
"HDFC Bank Limited - Term
Loan",34.23,60 (Monthly),August 2019,January 2025,9.59%
,,59 (Monthly),September 2019,January 2025,
,,56 (Monthly),November 2019,January 2025,
,,60 (Monthly),December 2020,November 2025,
,92.77,60 (Monthly),August 2023,July 2028,9.07%
HDFC Bank Limited - Car,0.84,60 (Monthly),March 2020,February 2025,8.60%
HDFC Bank Limited- ECLGS,3.62,36 (Monthly),October 2021,September 2024,9.25%
IndusInd Bank - Term Loan,70.48,19 (Quarterly),June 2023,December 2027,9.77%
Exim Bank - Term Loan,91.46,20 (Quarterly),October 2023,July 2028,8.95%
,73.23,16 (Quarterly),April 2025,January 2029,8.95%
Yes Bank Limited - Term Loan,43.99,72 (Monthly),March 2025,February 2031,8.97%
"Bajaj Finance Limited - Term
Loan",54.20,60 (Monthly),August 2021,August 2026,9.50%
,98.14,54 (Monthly),March 2024,August 2028,9.40%
