Nature of transactions,"Name of the related
party","For the nine
months ended
31 December
2025","For the year
ended
31 March 2025","For the year
ended
31 March 2024","For the year
ended
31 March 2023"
"Short term employee
benefits","Prof. Shashikanth
Suryanarayanan",59.65,53.93,32.20,19.07
,Amit Arun Dixit,33.69,29.99,53.46,13.02
,Manish Sharma,23.44,26.48,14.77,8.55
,Udo Edgar Wolz,5.36,-,-,-
,Rajesh Madhukar Sheth,10.25,9.83,6.31,3.88
,Prasad Rajendra Chavan,0.99,0.34,-,-
Post employment benefits,Amit Arun Dixit,1.13,2.99,0.50,0.04
,Manish Sharma,1.40,1.39,0.16,0.05
,Udo Edgar Wolz,,,,
,Rajesh Madhukar Sheth,0.87,0.35,0.77,0.22
,Prasad Rajendra Chavan,0.08,0.02,-,-
Share based payments,Rajesh Madhukar Sheth,7.23,10.17,2.98,1.48
"Reimbursement of
expenses (net)",Amit Arun Dixit,-,0.01,0.08,0.10
,Manish Sharma,0.01,0.21,0.07,0.19
,Udo Edgar Wolz,0.11,-,-,-
,Rajesh Madhukar Sheth,-,0.01,0.17,0.16
"Commission/
Remuneration",Poyni Bhatt,2.20,,,
,"Namakal Srinivasan
Parthasarathy",2.20,,,
Sitting fees,Poyni Bhatt,1.10,-,-,-
,"Namakal Srinivasan
Parthasarathy",1.00,-,-,-
