Particulars,,As at / For the,,As at / For Fiscal,,
,,nine months,,,,
,,,,2025,2024,2023
,,ended December,,,,
,,"31, 2025",,,,
,"(in ₹ million, except as indicated otherwise)","(in ₹ million, except as indicated otherwise)",,,,
Total equity (A),"4,104.80",,,"3,033.81","1,241.22","1,150.25"
Other intangible assets (B),642.40,,,689.38,507.30,521.29
Intangible assets under development (C),675.30,,,493.18,586.63,413.04
Deferred tax asset (net) (D),-,,,135.48,210.99,179.60
Deferred tax liabilities (net) (E),53.92,,,-,-,-
Tangible net worth(1) (E= A-B-C-D+E),"2,841.02",,,"1,715.77",(63.70),36.32
Non-current liabilities – Financial liabilities - Borrowings (F),241.84,,,256.88,423.53,349.77
Current liabilities – Financial liabilities – Borrowings (G),227.08,,,239.30,"1,082.65",746.30
Non-current Liabilities – Financial liabilities - Lease liabilities (H),172.92,,,81.83,139.94,194.35
Current liabilities – Financial liabilities – Lease liabilities (I),68.26,,,65.52,54.42,47.14
Total Debt(2) (J=F+G+H+I),710.10,,,643.53,"1,700.54","1,337.56"
Capital Employed(3) (K=E+J),"3,551.12",,,"2,359.30","1,636.84","1,373.88"
Profit for the period/year (L),714.98,,,470.45,58.78,85.73
Finance costs (M),72.19,,,120.30,384.48,160.44
Total tax expense (N),367.72,,,206.54,29.35,(5.66)
EBIT (O=L+M+N),"1,154.89",,,797.29,472.61,240.51
R oCE (%) (O/K) (4),32.52%,,,33.79%,28.87%,17.51%
