Particulars,,As at / For the,,As at / Fiscal,,
,,nine months,,,,
,,,,2025,2024,2023
,,ended December,,,,
,,"31, 2025",,,,
,"(in ₹ million, except as indicated otherwise)","(in ₹ million, except as indicated otherwise)",,,,
Total equity (A),"4,104.80",,,"3,033.81","1,241.22","1,150.25"
Total equity as on opening of first day of financial period/year (B),"3,033.81",,,"1,241.22","1,150.25","1,036.61"
Average Equity (C) ([A+B]/2),"3,569.31",,,"2,137.52","1,195.74","1,093.43"
Profit for the period/year (D),714.98,,,470.45,58.78,85.73
RoE (%) (D/C) (1),20.03%,,,22.01%,4.92%,7.84%
